identifier,possibleOutcomeDistribution,h
deck1855,T3C3HFdragon:25|T3C3HIdragon:2|T4C1HFdragon:4|T4C1SFdragon:4|T4C1HIdragon:1|T4C3SIdragon:5,
deck1856,T3C3HIdragon:39|T4C1HIdragon:1,
deck1857,T3C3HIdragon:26|T4C1HEdragon:4|T4C1HIdragon:1|T4C2SEdragon:5|T4C3SIdragon:5,
deck1858,T3C3HIdragon:34|T4C1HIdragon:1|T4C3HDdragon:5,
deck1859,T3C3WIdragon:35|T3C3HIdragon:2|T4C1HIdragon:1|T4C2WIdragon:2,
deck1860,T3C3HIdragon:28|T3C3SUdragon:2|T4C2HUdragon:4|T4C1HIdragon:1|T4C3SIdragon:5|T4C3SUdragon:1,
deck1861,T4C1HFdragon:35|T4C1HIdragon:1|T5C1HIdragon:4,
deck1862,T4C1HFdragon:29|T4C3WFdragon:4|T4C1HIdragon:1|T4C2WIdragon:2|T5C1HIdragon:4,
deck1863,T4C1SDdragon:26|T4C1HIdragon:1|T4C3HDdragon:5|T4C3SIdragon:5|T5C1HIdragon:4,
deck1864,T4C2HUdragon:35|T4C1HIdragon:1|T5C1HIdragon:4,
deck1865,T4C1HEdragon:26|T4C3WEdragon:4|T4C1HIdragon:1|T4C2WIdragon:2|T5C1HIdragon:4|T5C1HEdragon:3,
deck1866,T4C1HIdragon:32|T4C3SIdragon:5|T5C1HIdragon:4,
deck1867,T4C1HIdragon:32|T4C3SIdragon:5|T5C1HIdragon:4,
deck1868,T4C1HFdragon:29|T4C3WFdragon:4|T4C1HIdragon:1|T4C2WIdragon:2|T5C1HIdragon:4,
deck1869,T4C1HEdragon:32|T4C1HIdragon:1|T5C1HIdragon:4|T5C1HEdragon:3,
deck1870,T4C2WDdragon:25|T4C1HIdragon:1|T4C3HDdragon:5|T4C2WIdragon:2|T5C1HIdragon:4|T5C1WDdragon:3,
deck1871,T4C1HIdragon:34|T4C2WIdragon:2|T5C1HIdragon:4,
deck1872,T4C1HFdragon:23|T4C1SFdragon:4|T4C1HIdragon:1|T4C3SIdragon:5|T5C1HIdragon:4|T5C1SFdragon:4,
deck1873,T4C2HUdragon:36|T5C1HIdragon:4,
deck1874,T5C1HIdragon:4,
deck1875,T4C2HUdragon:36|T5C1HIdragon:4,
deck1876,T4C3WFdragon:31|T4C2WIdragon:2|T5C1HIdragon:4|T5C2WIdragon:3,
deck1877,T4C3HDdragon:29|T4C3SIdragon:5|T5C1HIdragon:4|T5C2HDdragon:3,
deck1878,T4C2SEdragon:26|T4C3SIdragon:5|T5C1HIdragon:4|T5C2SEdragon:4|T5C1HEdragon:3,
deck1879,T4C3HDdragon:28|T5C1HIdragon:4|T5C1WDdragon:3|T5C2WIdragon:3|T5C2HDdragon:3,
deck1880,T4C3SIdragon:34|T5C1HIdragon:4|T5C3SIdragon:3,
deck1881,T5C1HIdragon:37|T5C3HFdragon:3,
deck1882,T5C1HIdragon:37|T5C2WIdragon:3,
deck1883,T4C3SIdragon:28|T5C1HIdragon:4|T5C2SEdragon:4|T5C1HEdragon:3|T5C3SIdragon:3,
deck1884,T5C1HIdragon:37|T5C3HFdragon:3,
deck1885,T4C3HDdragon:34|T5C1HIdragon:4|T5C2HDdragon:3,
deck1886,T5C1HIdragon:26|T5C2WIdragon:3|T5C1HEdragon:3|T5C3WEdragon:3|T6C1WIdragon:3|T6C1HEdragon:3,
deck1887,T5C1HIdragon:25|T5C1SFdragon:4|T5C3HFdragon:3|T5C3SIdragon:3|T6C1SFdragon:3|T6C1SIdragon:3,
deck1888,T5C1HIdragon:34|T5C3SIdragon:3|T6C1SIdragon:3,
deck1889,T5C1HIdragon:34|T5C2WIdragon:3|T6C1WIdragon:3,
deck1890,T5C1HIdragon:37|T5C2HDdragon:3,
deck1891,T2C3WUdragon:31|T3C1WUdragon:3|T3C3WIdragon:3|T3C1SIdragon:2|T3C3SUdragon:2,
deck1892,T2C3WUdragon:27|T2C3WEdragon:4|T3C1WUdragon:3|T3C1WEdragon:2|T3C2HUdragon:2|T3C1HEdragon:2,
deck1893,T2C3SEdragon:27|T2C3WUdragon:4|T3C1WUdragon:3|T3C2SEdragon:3|T3C1WEdragon:2|T3C3SUdragon:2,
deck1894,T2C3WUdragon:35|T3C1WUdragon:3|T3C2HUdragon:2,
deck1895,T2C3WUdragon:35|T3C1WUdragon:3|T3C2WFdragon:2,
deck1896,T3C1WUdragon:34|T3C3SUdragon:2|T4C1WUdragon:5,
deck1897,T3C1WUdragon:25|T3C3HFdragon:3|T3C2HUdragon:2|T3C2WFdragon:2|T4C1HFdragon:4|T4C1WUdragon:5,
deck1898,T3C1WUdragon:33|T3C3WIdragon:3|T4C1WUdragon:5,
deck1899,T3C1HIdragon:27|T3C3WIdragon:3|T3C2HUdragon:2|T3C3HIdragon:2|T4C1HIdragon:1|T4C1WUdragon:5,
deck1900,T3C1SFdragon:25|T3C1WUdragon:3|T3C2WFdragon:2|T3C3SUdragon:2|T4C1SFdragon:4|T4C1WUdragon:5,
deck1901,T3C1HIdragon:27|T3C3WIdragon:3|T3C2HUdragon:2|T3C3HIdragon:2|T4C1HIdragon:1|T4C1WUdragon:5,
deck1902,T3C1WUdragon:35|T4C1WUdragon:5,
deck1903,T3C1WUdragon:31|T3C3SUdragon:2|T4C1SDdragon:3|T4C1WUdragon:5,
deck1904,T3C1WUdragon:25|T3C1WEdragon:2|T3C2HUdragon:2|T3C1HEdragon:2|T4C1HEdragon:4|T4C1WUdragon:5,
deck1905,T3C1WUdragon:25|T3C3HFdragon:3|T3C2HUdragon:2|T3C2WFdragon:2|T4C1HFdragon:4|T4C1WUdragon:5,
deck1906,T3C3WIdragon:33|T4C1WUdragon:5|T4C2WIdragon:2,
deck1907,T3C2SEdragon:29|T3C3SUdragon:2|T4C1WUdragon:5|T4C2SEdragon:5,
deck1908,T3C2HUdragon:32|T4C2HUdragon:4|T4C1WUdragon:5,
deck1909,T4C2WDdragon:35|T4C1WUdragon:5,
deck1910,T3C3WIdragon:31|T3C3SUdragon:2|T4C1WUdragon:5|T4C2WIdragon:2,
deck1911,T3C2WFdragon:35|T4C1WUdragon:5,
deck1912,T3C2HUdragon:28|T4C2HUdragon:4|T4C2WDdragon:4|T4C1WUdragon:5,
deck1913,T3C3SUdragon:35|T4C1WUdragon:5,
deck1914,T4C1WUdragon:4,
deck1915,T4C1WUdragon:4,
deck1916,T4C1HEdragon:28|T4C2HUdragon:4|T4C3WEdragon:4|T4C1WUdragon:5,
deck1917,T4C2WDdragon:35|T4C1WUdragon:5,
deck1918,T3C3SUdragon:27|T4C1SFdragon:4|T4C3WFdragon:4|T4C1WUdragon:5|T4C3SUdragon:1,
deck1919,T3C3WIdragon:26|T3C3HIdragon:2|T4C2HUdragon:4|T4C1HIdragon:1|T4C1WUdragon:5|T4C2WIdragon:2,
deck1920,T3C3SUdragon:26|T4C3WEdragon:4|T4C1WUdragon:5|T4C2SEdragon:5|T4C3SUdragon:1,
deck1921,T4C2HUdragon:27|T4C2WDdragon:4|T4C1WUdragon:5|T4C3HDdragon:5,
deck1922,T3C3WIdragon:33|T4C1WUdragon:5|T4C2WIdragon:2,
deck1923,T3C3SUdragon:34|T4C1WUdragon:5|T4C3SUdragon:1,
deck1924,T4C1HFdragon:25|T4C2HUdragon:4|T4C3WFdragon:4|T4C1WUdragon:5|T5C1WUdragon:4,
deck1925,T4C3WFdragon:32|T4C1WUdragon:5|T5C1WUdragon:4,
deck1926,T4C1SDdragon:24|T4C2WDdragon:4|T4C1WUdragon:5|T4C3SUdragon:1|T5C1WUdragon:4|T5C1WDdragon:3,
deck1927,T4C2HUdragon:32|T4C1WUdragon:5|T5C1WUdragon:4,
deck1928,T4C3WEdragon:32|T4C1WUdragon:5|T5C1WUdragon:4,
deck1929,T4C1WUdragon:28|T4C3SIdragon:5|T4C2WIdragon:2|T4C3SUdragon:1|T5C1WUdragon:4,
deck1930,T4C1WUdragon:28|T4C3SIdragon:5|T4C2WIdragon:2|T4C3SUdragon:1|T5C1WUdragon:4,
deck1931,T4C3WFdragon:32|T4C1WUdragon:5|T5C1WUdragon:4,
deck1932,T4C1HEdragon:22|T4C2HUdragon:4|T4C3WEdragon:4|T4C1WUdragon:5|T5C1WUdragon:4|T5C1HEdragon:3,
deck1933,T4C2WDdragon:29|T4C1WUdragon:5|T5C1WUdragon:4|T5C1WDdragon:3,
deck1934,T4C1WUdragon:34|T4C2WIdragon:2|T5C1WUdragon:4,
deck1935,T4C1SFdragon:24|T4C3WFdragon:4|T4C1WUdragon:5|T4C3SUdragon:1|T5C1SFdragon:4|T5C1WUdragon:4,
deck1936,T4C2HUdragon:36|T5C1WUdragon:4,
deck1937,T4C2HUdragon:28|T4C2WIdragon:2|T5C1HIdragon:4|T5C1WUdragon:4|T5C2WIdragon:3,
deck1938,T4C2HUdragon:36|T5C1WUdragon:4,
deck1939,T4C3WFdragon:36|T5C1WUdragon:4,
deck1940,T4C2WDdragon:30|T4C3SUdragon:1|T5C1WUdragon:4|T5C1WDdragon:3|T5C2SUdragon:3,
deck1941,T4C3WEdragon:24|T4C2SEdragon:5|T4C3SUdragon:1|T5C1WUdragon:4|T5C2SEdragon:4|T5C2SUdragon:3,
deck1942,T5C1WUdragon:37|T5C1WDdragon:3,
deck1943,T4C3SIdragon:27|T4C3SUdragon:1|T5C1WUdragon:4|T5C2SUdragon:3|T5C2WIdragon:3|T5C3SIdragon:3,
deck1944,T4C3WFdragon:28|T5C1WUdragon:4|T5C3HFdragon:3|T5C3HUdragon:3|T5C3WFdragon:3,
deck1945,T5C1WUdragon:37|T5C2WIdragon:3,
deck1946,T4C3WEdragon:26|T4C3SUdragon:1|T5C1WUdragon:4|T5C2SEdragon:4|T5C2SUdragon:3|T5C3WEdragon:3,
deck1947,T4C3WFdragon:28|T5C1WUdragon:4|T5C3HFdragon:3|T5C3HUdragon:3|T5C3WFdragon:3,
deck1948,T4C3HDdragon:28|T5C1WUdragon:4|T5C1WDdragon:3|T5C2HDdragon:3|T5C3HUdragon:3,
deck1949,T5C1WUdragon:37|T5C3WEdragon:3,
deck1950,T5C1SFdragon:25|T5C1WUdragon:4|T5C2SUdragon:3|T5C3WFdragon:3|T6C1SFdragon:3|T6C1WFdragon:3,
deck1951,T5C1WUdragon:25|T5C2SUdragon:3|T5C2WIdragon:3|T5C3SIdragon:3|T6C1WIdragon:3|T6C1SIdragon:3,
deck1952,T5C1WUdragon:34|T5C2WIdragon:3|T6C1WIdragon:3,
deck1953,T5C1WUdragon:29|T5C1WDdragon:3|T5C2HDdragon:3|T5C3HUdragon:3|T6C1WDdragon:3,
deck1954,T2C3HIdragon:27|T3C1HIdragon:4|T3C2SEdragon:3|T3C1SIdragon:2|T3C3HIdragon:2|T3C1HEdragon:2,
deck1955,T2C3SEdragon:35|T3C2SEdragon:3|T3C1SIdragon:2,
deck1956,T2C3HIdragon:28|T3C1HIdragon:4|T3C1SIdragon:2|T3C2HUdragon:2|T3C3HIdragon:2|T3C3SUdragon:2,
deck1957,T2C3SFdragon:29|T3C1SFdragon:4|T3C3WIdragon:3|T3C1SIdragon:2|T3C2WFdragon:2,
deck1958,T3C1SIdragon:38|T3C3SUdragon:2,
deck1959,T3C3HFdragon:28|T3C1SIdragon:2|T3C3HIdragon:2|T4C1HFdragon:4|T4C1SFdragon:4|T4C1HIdragon:1,
deck1960,T3C3WIdragon:38|T3C1SIdragon:2,
deck1961,T3C1HIdragon:35|T3C1SIdragon:2|T3C3HIdragon:2|T4C1HIdragon:1,
deck1962,T3C1SFdragon:34|T3C1SIdragon:2|T4C1SFdragon:4,
deck1963,T3C1HIdragon:35|T3C1SIdragon:2|T3C3HIdragon:2|T4C1HIdragon:1,
deck1964,T3C1WUdragon:29|T3C3WIdragon:3|T3C1SIdragon:2|T3C3SUdragon:2|T4C1WUdragon:5,
deck1965,T3C1SIdragon:37|T4C1SDdragon:3,
deck1966,T3C2SEdragon:29|T3C1SIdragon:2|T3C3HIdragon:2|T3C1HEdragon:2|T4C1HEdragon:4|T4C1HIdragon:1,
deck1967,T3C3HFdragon:28|T3C1SIdragon:2|T3C3HIdragon:2|T4C1HFdragon:4|T4C1SFdragon:4|T4C1HIdragon:1,
deck1968,T3C3WIdragon:38|T4C2WIdragon:2,
deck1969,T3C2SEdragon:35|T4C2SEdragon:5,
deck1970,T3C2HUdragon:32|T3C3HIdragon:2|T3C3SUdragon:2|T4C2HUdragon:4|T4C1HIdragon:1,
deck1971,T3C3WIdragon:31|T4C1SDdragon:3|T4C2WDdragon:4|T4C2WIdragon:2,
deck1972,T3C3WIdragon:32|T3C2WFdragon:2|T4C1SFdragon:4|T4C2WIdragon:2,
deck1973,T3C3HIdragon:36|T4C1SDdragon:3|T4C1HIdragon:1,
deck1974,T3C3SUdragon:4,
deck1975,T3C2SEdragon:30|T3C3WIdragon:3|T4C2SEdragon:5|T4C2WIdragon:2,
deck1976,T3C3WIdragon:26|T3C3SUdragon:2|T4C1WUdragon:5|T4C3SIdragon:5|T4C2WIdragon:2|T4C3SUdragon:1,
deck1977,T3C3HIdragon:26|T4C1HEdragon:4|T4C1HIdragon:1|T4C2SEdragon:5|T4C3SIdragon:5,
deck1978,T3C3WIdragon:27|T4C1SDdragon:3|T4C2WDdragon:4|T4C3SIdragon:5|T4C2WIdragon:2,
deck1979,T4C1SFdragon:35|T4C3SIdragon:5,
deck1980,T3C3HIdragon:34|T4C1HIdragon:1|T4C3SIdragon:5,
deck1981,T4C2SEdragon:35|T4C3SIdragon:5,
deck1982,T3C3HIdragon:27|T4C1SDdragon:3|T4C1HIdragon:1|T4C3HDdragon:5|T4C3SIdragon:5,
deck1983,T3C3WIdragon:33|T4C3SIdragon:5|T4C2WIdragon:2,
deck1984,T3C3SUdragon:34|T4C3SIdragon:5|T4C3SUdragon:1,
deck1985,T4C1HFdragon:23|T4C1SFdragon:4|T4C1HIdragon:1|T4C3SIdragon:5|T5C1HIdragon:4|T5C1SFdragon:4,
deck1986,T4C1SFdragon:26|T4C3WFdragon:4|T4C3SIdragon:5|T4C2WIdragon:2|T5C1SFdragon:4,
deck1987,T4C1SDdragon:35|T4C3SIdragon:5,
deck1988,T4C2HUdragon:29|T4C1HIdragon:1|T4C3SIdragon:5|T4C3SUdragon:1|T5C1HIdragon:4,
deck1989,T4C3WEdragon:28|T4C2SEdragon:5|T4C3SIdragon:5|T4C2WIdragon:2,
deck1990,T4C3SIdragon:4,
deck1991,T4C3SIdragon:4,
deck1992,T4C1SFdragon:26|T4C3WFdragon:4|T4C3SIdragon:5|T4C2WIdragon:2|T5C1SFdragon:4,
deck1993,T4C1HEdragon:23|T4C1HIdragon:1|T4C2SEdragon:5|T4C3SIdragon:5|T5C1HIdragon:4|T5C1HEdragon:3,
deck1994,T4C1SDdragon:27|T4C2WDdragon:4|T4C3SIdragon:5|T4C2WIdragon:2|T5C1WDdragon:3,
deck1995,T4C3SIdragon:38|T4C2WIdragon:2,
deck1996,T4C1SFdragon:32|T4C3SIdragon:5|T5C1SFdragon:4,
deck1997,T4C2HUdragon:28|T4C3SIdragon:5|T4C3SUdragon:1|T5C1HIdragon:4|T5C2SUdragon:3,
deck1998,T4C3SIdragon:36|T5C1HIdragon:4,
deck1999,T4C2HUdragon:28|T4C3SIdragon:5|T4C3SUdragon:1|T5C1HIdragon:4|T5C2SUdragon:3,
deck2000,T4C3WFdragon:27|T4C3SIdragon:5|T4C2WIdragon:2|T5C1SFdragon:4|T5C2WIdragon:3,
deck2001,T4C3SIdragon:4,
deck2002,T4C2SEdragon:32|T4C3SIdragon:5|T5C2SEdragon:4,
deck2003,T4C3SIdragon:29|T5C1WDdragon:3|T5C2WIdragon:3|T5C3SDdragon:3|T5C3SIdragon:3,
deck2004,T4C3SIdragon:37|T5C3SIdragon:3,
deck2005,T4C3SIdragon:27|T5C1HIdragon:4|T5C1SFdragon:4|T5C3HFdragon:3|T5C3SIdragon:3,
deck2006,T4C3SIdragon:34|T5C2WIdragon:3|T5C3SIdragon:3,
deck2007,T4C3SIdragon:34|T5C2SEdragon:4|T5C3SIdragon:3,
deck2008,T4C3SIdragon:27|T5C1HIdragon:4|T5C1SFdragon:4|T5C3HFdragon:3|T5C3SIdragon:3,
deck2009,T4C3HDdragon:24|T4C3SIdragon:5|T5C1HIdragon:4|T5C2HDdragon:3|T5C3SDdragon:3|T5C3SIdragon:3,
deck2010,T5C2SEdragon:26|T5C2WIdragon:3|T5C3SIdragon:3|T5C3WEdragon:3|T6C1WIdragon:3|T6C1SIdragon:3,
deck2011,T5C1SFdragon:31|T5C3SIdragon:3|T6C1SFdragon:3|T6C1SIdragon:3,
deck2012,T5C3SIdragon:37|T6C1SIdragon:3,
deck2013,T5C2WIdragon:31|T5C3SIdragon:3|T6C1WIdragon:3|T6C1SIdragon:3,
deck2014,T5C1HIdragon:29|T5C2HDdragon:3|T5C3SDdragon:3|T5C3SIdragon:3|T6C1SIdragon:3,
deck2015,T2C3SEdragon:35|T3C2SEdragon:3|T3C1HEdragon:2,
deck2016,T3C2HUdragon:38|T3C1HEdragon:2,
deck2017,T2C3HFdragon:27|T2C3WEdragon:4|T3C3HFdragon:3|T3C1WEdragon:2|T3C1HEdragon:2|T3C2WFdragon:2,
deck2018,T3C2SEdragon:34|T3C2HUdragon:2|T4C1HEdragon:4|E18Q1GoofyDragon:2,
deck2019,T3C3HFdragon:31|T3C1HEdragon:2|T4C1HFdragon:4|T4C1HEdragon:4,
deck2020,T3C3WIdragon:29|T3C1WEdragon:2|T3C3HIdragon:2|T3C1HEdragon:2|T4C1HEdragon:4|T4C1HIdragon:1,
deck2021,T3C1HIdragon:31|T3C3HIdragon:2|T3C1HEdragon:2|T4C1HEdragon:4|T4C1HIdragon:1,
deck2022,T3C1SFdragon:24|T3C2SEdragon:3|T3C3HFdragon:3|T4C1HFdragon:4|T4C1HEdragon:4|T4C1SFdragon:4,
deck2023,T3C1HIdragon:31|T3C3HIdragon:2|T3C1HEdragon:2|T4C1HEdragon:4|T4C1HIdragon:1,
deck2024,T3C1WUdragon:25|T3C1WEdragon:2|T3C2HUdragon:2|T3C1HEdragon:2|T4C1HEdragon:4|T4C1WUdragon:5,
deck2025,T3C2SEdragon:31|T3C1HEdragon:2|T4C1SDdragon:3|T4C1HEdragon:4,
deck2026,T3C1HEdragon:36|T4C1HEdragon:4,
deck2027,T3C3HFdragon:31|T3C1HEdragon:2|T4C1HFdragon:4|T4C1HEdragon:4,
deck2028,T3C3WIdragon:31|T3C3HIdragon:2|T4C1HEdragon:4|T4C1HIdragon:1|T4C2WIdragon:2,
deck2029,T3C2SEdragon:32|T4C1HEdragon:4|T4C2SEdragon:5,
deck2030,T3C2HUdragon:33|T4C1HEdragon:4|T4C2HUdragon:4,
deck2031,T4C1HEdragon:36|T4C2WDdragon:4,
deck2032,T3C2SEdragon:29|T3C3HIdragon:2|T4C1HEdragon:4|T4C1HIdragon:1|T4C2SEdragon:5,
deck2033,T3C3HFdragon:31|T3C2WFdragon:2|T4C1HFdragon:4|T4C1HEdragon:4,
deck2034,T4C1HEdragon:4,
deck2035,T3C2SEdragon:24|T3C2HUdragon:2|T3C3SUdragon:2|T4C1HEdragon:4|T4C2HUdragon:4|T4C2SEdragon:5,
deck2036,T4C1HEdragon:4,
deck2037,T4C1HEdragon:28|T4C2HUdragon:4|T4C3WEdragon:4|T4C1WUdragon:5,
deck2038,T4C1HEdragon:4,
deck2039,T4C1HEdragon:28|T4C2WDdragon:4|T4C3WEdragon:4|T4C3HDdragon:5,
deck2040,T3C3HFdragon:25|T4C1HFdragon:4|T4C1HEdragon:4|T4C1SFdragon:4|T4C2SEdragon:5,
deck2041,T3C3HIdragon:35|T4C1HEdragon:4|T4C1HIdragon:1,
deck2042,T4C1HEdragon:35|T4C2SEdragon:5,
deck2043,T4C1HEdragon:35|T4C3HDdragon:5,
deck2044,T3C3WIdragon:27|T3C3HIdragon:2|T4C1HEdragon:4|T4C3WEdragon:4|T4C1HIdragon:1|T4C2WIdragon:2,
deck2045,T3C3SUdragon:27|T4C1HEdragon:4|T4C2HUdragon:4|T4C2SEdragon:5|T4C3SUdragon:1,
deck2046,T4C1HFdragon:34|T4C1HEdragon:4|T5C1HEdragon:3,
deck2047,T4C1HFdragon:27|T4C1HEdragon:4|T4C3WEdragon:4|T4C3WFdragon:4|T5C1HEdragon:3,
deck2048,T4C1SDdragon:25|T4C1HEdragon:4|T4C2SEdragon:5|T4C3HDdragon:5|T5C1HEdragon:3,
deck2049,T4C1HEdragon:34|T4C2HUdragon:4|T5C1HEdragon:3,
deck2050,T4C1HEdragon:34|T4C3WEdragon:4|T5C1HEdragon:3,
deck2051,T4C1HEdragon:23|T4C1HIdragon:1|T4C2SEdragon:5|T4C3SIdragon:5|T5C1HIdragon:4|T5C1HEdragon:3,
deck2052,T4C1HEdragon:23|T4C1HIdragon:1|T4C2SEdragon:5|T4C3SIdragon:5|T5C1HIdragon:4|T5C1HEdragon:3,
deck2053,T4C1HFdragon:27|T4C1HEdragon:4|T4C3WEdragon:4|T4C3WFdragon:4|T5C1HEdragon:3,
deck2054,T4C1HEdragon:37|T5C1HEdragon:3,
deck2055,T4C1HEdragon:23|T4C2WDdragon:4|T4C3WEdragon:4|T4C3HDdragon:5|T5C1WDdragon:3|T5C1HEdragon:3,
deck2056,T4C1HEdragon:26|T4C3WEdragon:4|T4C1HIdragon:1|T4C2WIdragon:2|T5C1HIdragon:4|T5C1HEdragon:3,
deck2057,T4C1HFdragon:22|T4C1HEdragon:4|T4C1SFdragon:4|T4C2SEdragon:5|T5C1SFdragon:4|T5C1HEdragon:3,
deck2058,T4C2HUdragon:37|T5C1HEdragon:3,
deck2059,T5C1HIdragon:37|T5C1HEdragon:3,
deck2060,T4C2HUdragon:37|T5C1HEdragon:3,
deck2061,T4C3WEdragon:34|T4C3WFdragon:4|T5C1HEdragon:3,
deck2062,T4C2SEdragon:27|T4C3HDdragon:5|T5C2SEdragon:4|T5C1HEdragon:3|T5C2HDdragon:3,
deck2063,T4C2SEdragon:34|T5C2SEdragon:4|T5C1HEdragon:3,
deck2064,T4C3WEdragon:24|T4C3HDdragon:5|T5C1WDdragon:3|T5C1HEdragon:3|T5C2HDdragon:3|T5C3WEdragon:3,
deck2065,T4C3SIdragon:28|T5C1HIdragon:4|T5C2SEdragon:4|T5C1HEdragon:3|T5C3SIdragon:3,
deck2066,T5C3HFdragon:37|T5C1HEdragon:3,
deck2067,T4C3WEdragon:28|T5C1HIdragon:4|T5C2WIdragon:3|T5C1HEdragon:3|T5C3WEdragon:3,
deck2068,T5C2SEdragon:37|T5C1HEdragon:3,
deck2069,T5C3HFdragon:37|T5C1HEdragon:3,
deck2070,T4C3HDdragon:35|T5C1HEdragon:3|T5C2HDdragon:3,
deck2071,T5C1HEdragon:34|T5C3WEdragon:3|T6C1HEdragon:3,
deck2072,T5C1SFdragon:25|T5C2SEdragon:4|T5C3HFdragon:3|T5C1HEdragon:3|T6C1SFdragon:3|T6C1HEdragon:3,
deck2073,T5C1HIdragon:24|T5C2SEdragon:4|T5C1HEdragon:3|T5C3SIdragon:3|T6C1HEdragon:3|T6C1SIdragon:3,
deck2074,T5C1HIdragon:26|T5C2WIdragon:3|T5C1HEdragon:3|T5C3WEdragon:3|T6C1WIdragon:3|T6C1HEdragon:3,
deck2075,T5C1HEdragon:34|T5C2HDdragon:3|T6C1HEdragon:3,
deck2076,T3C2SEdragon:30|T3C2HUdragon:2|T3C1HEdragon:2|T3C3SUdragon:2|T4C1HEdragon:4,
deck2077,T3C1SFdragon:29|T3C2SEdragon:3|T3C1WEdragon:2|T3C2WFdragon:2|T4C1SFdragon:4,
deck2078,T3C2SEdragon:38|T3C3SUdragon:2,
deck2079,T3C2SEdragon:24|T3C3HFdragon:3|T3C1HEdragon:2|T4C1HFdragon:4|T4C1HEdragon:4|T4C1SFdragon:4,
deck2080,T3C2SEdragon:33|T3C3WIdragon:3|T3C1SIdragon:2|T3C1WEdragon:2,
deck2081,T3C1HIdragon:28|T3C2SEdragon:3|T3C3HIdragon:2|T3C1HEdragon:2|T4C1HEdragon:4|T4C1HIdragon:1,
deck2082,T3C2SEdragon:32|T4C1SFdragon:4|T4C2SEdragon:5,
deck2083,T3C2SEdragon:29|T3C3HIdragon:2|T4C1HEdragon:4|T4C1HIdragon:1|T4C2SEdragon:5,
deck2084,T3C2SEdragon:29|T3C3SUdragon:2|T4C1WUdragon:5|T4C2SEdragon:5,
deck2085,T3C2SEdragon:33|T4C1SDdragon:3|T4C2SEdragon:5,
deck2086,T3C2SEdragon:32|T4C1HEdragon:4|T4C2SEdragon:5,
deck2087,T3C2SEdragon:22|T3C3HFdragon:3|T4C1HFdragon:4|T4C1HEdragon:4|T4C1SFdragon:4|T4C2SEdragon:5,
deck2088,T3C2SEdragon:30|T3C3WIdragon:3|T4C2SEdragon:5|T4C2WIdragon:2,
deck2089,T3C2SEdragon:35|T4C2SEdragon:5,
deck2090,T3C2SEdragon:24|T3C2HUdragon:2|T3C3SUdragon:2|T4C1HEdragon:4|T4C2HUdragon:4|T4C2SEdragon:5,
deck2091,T3C2SEdragon:29|T4C1SDdragon:3|T4C2WDdragon:4|T4C2SEdragon:5,
deck2092,T4C2SEdragon:35|T4C3SIdragon:5,
deck2093,T4C1SFdragon:28|T4C3WEdragon:4|T4C3WFdragon:4|T4C2SEdragon:5,
deck2094,T4C1SDdragon:27|T4C1HEdragon:4|T4C2SEdragon:5|T4C3HDdragon:5,
deck2095,T3C3SUdragon:34|T4C2SEdragon:5|T4C3SUdragon:1,
deck2096,T4C3WEdragon:35|T4C2SEdragon:5,
deck2097,T3C3SUdragon:26|T4C3WEdragon:4|T4C1WUdragon:5|T4C2SEdragon:5|T4C3SUdragon:1,
deck2098,T4C1HEdragon:35|T4C2SEdragon:5,
deck2099,T4C1SDdragon:28|T4C2WDdragon:4|T4C3WEdragon:4|T4C2SEdragon:5,
deck2100,T4C1SFdragon:35|T4C2SEdragon:5,
deck2101,T3C3HIdragon:26|T4C1HEdragon:4|T4C1HIdragon:1|T4C2SEdragon:5|T4C3SIdragon:5,
deck2102,T4C2SEdragon:4,
deck2103,T4C1SDdragon:25|T4C1HEdragon:4|T4C2SEdragon:5|T4C3HDdragon:5|T5C1HEdragon:3,
deck2104,T4C3WEdragon:28|T4C2SEdragon:5|T4C3SIdragon:5|T4C2WIdragon:2,
deck2105,T4C2SEdragon:39|T4C3SUdragon:1,
deck2106,T4C1HFdragon:22|T4C1HEdragon:4|T4C1SFdragon:4|T4C2SEdragon:5|T5C1SFdragon:4|T5C1HEdragon:3,
deck2107,T4C1SFdragon:25|T4C3WEdragon:4|T4C3WFdragon:4|T4C2SEdragon:5|T5C1SFdragon:4,
deck2108,T4C1SDdragon:35|T4C2SEdragon:5,
deck2109,T4C1HEdragon:28|T4C2HUdragon:4|T4C2SEdragon:5|T4C3SUdragon:1|T5C1HEdragon:3,
deck2110,T4C3WEdragon:35|T4C2SEdragon:5,
deck2111,T4C2SEdragon:35|T4C3SIdragon:5,
deck2112,T4C2SEdragon:32|T4C3SIdragon:5|T5C2SEdragon:4,
deck2113,T4C3WEdragon:25|T4C3WFdragon:4|T4C2SEdragon:5|T5C1SFdragon:4|T5C2SEdragon:4,
deck2114,T4C2SEdragon:34|T5C2SEdragon:4|T5C1HEdragon:3,
deck2115,T4C2WDdragon:25|T4C3WEdragon:4|T4C2SEdragon:5|T5C2SEdragon:4|T5C1WDdragon:3,
deck2116,T4C3WEdragon:22|T4C2SEdragon:5|T4C3SIdragon:5|T4C2WIdragon:2|T5C2SEdragon:4|T5C2WIdragon:3,
deck2117,T4C2SEdragon:33|T5C1SFdragon:4|T5C2SEdragon:4,
