identifier,inBundle,currencies,eggs,eggParents,dragons,breeders,consumables,dragonArmors,runes,eliteAccountTime,riderGear,rankedRewardIdentifier,displayName,iconFilename,isIAPReward,isAdReward,rewardTargets,h
rewardLevel327,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel328,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel329,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel330,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel331,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel332,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel333,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel334,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel335,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel336,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel337,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel338,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel339,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel340,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel341,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel342,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel343,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel344,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel345,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel346,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel347,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel348,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel349,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel350,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel351,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel352,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel353,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel354,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel355,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel356,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel357,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel358,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel359,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel360,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel361,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel362,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel363,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel364,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel365,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel366,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel367,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel368,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel369,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel370,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel371,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel372,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel373,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel374,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel375,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel376,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel377,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel378,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel379,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel380,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel381,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel382,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel383,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel384,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel385,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel386,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel387,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel388,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel389,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel390,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel391,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel392,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel393,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel394,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel395,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel396,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel397,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel398,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel399,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel400,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel401,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel402,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel403,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel404,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel405,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel406,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel407,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel408,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel409,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel410,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel411,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel412,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel413,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel414,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel415,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel416,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel417,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel418,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel419,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel420,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel421,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel422,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel423,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel424,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel425,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel426,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel427,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel428,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel429,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel430,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel431,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel432,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel433,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel434,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel435,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel436,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel437,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel438,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel439,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel440,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel441,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel442,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel443,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel444,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel445,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel446,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel447,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel448,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel449,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel450,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel451,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel452,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel453,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel454,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel455,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel456,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel457,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel458,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel459,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel460,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel461,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel462,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel463,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel464,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel465,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel466,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel467,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel468,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel469,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel470,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel471,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel472,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel473,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel474,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel475,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel476,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel477,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel478,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel479,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel480,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel481,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel482,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel483,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel484,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel485,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel486,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel487,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel488,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel489,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel490,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel491,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel492,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel493,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel494,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel495,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel496,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel497,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel498,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel499,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel500,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel501,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel502,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel503,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel504,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel505,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel506,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel507,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel508,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel509,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel510,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel511,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel512,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel513,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel514,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel515,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel516,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel517,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel518,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel519,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel520,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel521,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel522,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel523,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel524,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel525,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel526,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel527,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel528,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel529,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel530,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel531,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel532,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel533,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel534,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel535,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel536,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel537,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel538,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel539,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel540,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel541,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel542,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel543,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel544,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel545,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel546,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel547,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel548,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel549,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel550,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel551,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel552,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel553,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel554,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel555,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel556,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel557,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel558,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel559,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel560,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel561,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel562,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel563,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel564,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel565,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel566,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel567,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel568,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel569,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel570,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel571,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel572,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel573,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel574,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel575,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel576,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel577,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel578,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel579,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel580,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel581,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel582,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel583,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel584,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel585,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel586,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel587,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel588,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel589,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel590,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel591,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel592,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel593,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel594,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel595,,breedingToken:885|chest2:3|ruby:1770,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel596,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
rewardLevel597,,breedingToken:885|ruby:4435,,,,,expediteConsumable4:4,,,,,,,,,,,
