identifier,inBundle,displayName,defaultSceneFile,dragonClass,dragonType,defaultRarity,elementIdentifier,displayDescription,stableHint,defaultDiscoveredImage,undiscoveredImage,defaultIconFilename,iconFilenameLocked,upgradeCSVFileName,fidgets,unlockAchievement,attackStartVal,sellBasePrice,unavailableSpellTypes,showcaseNodeLocation,isAttainable,sortPriority,minDragonLevelForBreeding,minBreedingCaveBuildingLevelToBreed,incubatingTime,incubationAchievementRequirement,incubationBuildingLevelRequirement,defaultMaxLevel,researchMaxLevelIncrease,eggCurrencyType,eggDisplaySceneFile,defaultAttackBoostRange,defaultHPBoostRange,canSell,canUpgrade,canBeSummoned,deathPenaltyPercentage,defaultTierNumber,priorityWithinTier,showInStable,numberOfFragmentsNeeded,isShrineDragon,isGoldDragon,limitedTimeOfferDragonActiveEvent,limitedTimeOfferDragonParentsInfoFile,isEvolveDragon,canPlaceIntoPerch,isUnbreedableDragon,buffEndTime,h
T6C1SFdragon,0,Basileus,drg_fire_phoenix.lvl,sorcerer,Crowing Serpent,3,fireElement,An emblem of honorable royalty since the earliest days.,Look for the dragon at the breeding grounds,dragon_fire_phoenix_discovered_thumbnail.png,dragon_fire_phoenix_undiscovered_thumbnail.png,dragonThumbnail_fire_phoenix.png,dragonThumbnail_phoenix_undiscovered.png,T6C1SFdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,74,6,6,712800,,6,15,,goldEggCurrency,egg_gold_V6.lvl,0-0,0-0,1,1,0,15,6,17,1,35,0,0,,,,1,,0,
T6C2HUdragon,0,Yersinu,drg_undead_pox_v3.lvl,hunter,Ratfang Wyvern,4,darkElement,This torn creature has won all its battles; imagine then the losers.,Look for the dragon at the breeding grounds,dragon_pox_v3_discovered_thumbnail.png,dragon_pox_undiscovered_thumbnail.png,dragonThumbnail_pox_v3.png,dragonThumbnail_pox_undiscovered.png,T6C2HUdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,75,8,6,1360800,,6,20,,goldEggCurrency,egg_gold_V7.lvl,0-0,0-0,1,1,0,15,6,18,1,60,0,0,,,,1,,0,
T6C3HIdragon,0,Whalegnawer,drg_water_wyvern_v1.lvl,hunter,Great Leviathan,5,iceElement,An annointed lord of the waves to which all things that swim must bow.,Look for the dragon at the breeding grounds,dragon_water_wyvern_v1_discovered_thumbnail.png,dragon_water_wyvern_v1_undiscovered_thumbnail.png,dragonThumbnail_water_wyvern_v1.png,dragonThumbnail_water_wyvern_undiscovered.png,T6C3HIdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,76,12,6,1512000,,6,30,,goldEggCurrency,egg_gold_V8.lvl,0-0,0-0,1,1,0,15,6,19,1,90,0,0,,,,1,,0,
T6C3HUdragon,0,Consurgens,drg_magma_v1.lvl,hunter,Numinous Worm,5,fireElement,A wizened ancient thing. Possessor of endless secrets.,Look for the dragon at the breeding grounds,dragon_magma_v1_discovered_thumbnail.png,dragon_magma_undiscovered_thumbnail.png,dragonThumbnail_magma_v1.png,dragonThumbnail_magma_undiscovered.png,T6C3HUdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,77,12,6,1512000,,6,30,,goldEggCurrency,egg_gold_V9.lvl,0-0,0-0,1,1,0,15,6,20,1,90,0,0,,,,1,,0,
T6C3WFdragon,0,Khrysos,drg_bull_v1.lvl,warrior,Furious Behemoth,5,earthElement,No meal or victory can satisfy this gaping maw.,Look for the dragon at the breeding grounds,dragon_bull_v1_discovered_thumbnail.png,dragon_bull_undiscovered_thumbnail.png,dragonThumbnail_bull_v1.png,dragonThumbnail_bull_undiscovered.png,T6C3WFdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,78,12,6,1512000,,6,30,,goldEggCurrency,egg_gold_V10.lvl,0-0,0-0,1,1,0,15,6,21,1,90,0,0,,,,1,,0,
T6C3SDdragon,0,Sekoronos,drg_undead_skeletalSorcerer_v1.lvl,sorcerer,Spirit of Corrosion,5,darkElement,An avatar of endings and the erosion of all things.,Look for the dragon at the breeding grounds,dragon_skeletalSorcerer_v1_discovered_thumbnail.png,dragon_skeletalSorcerer_undiscovered_thumbnail.png,dragonThumbnail_skeletalSorcerer_v1.png,dragonThumbnail_skeletalSorcerer_undiscovered.png,T6C3SDdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,79,12,6,1512000,,6,30,,goldEggCurrency,egg_gold_V11.lvl,0-0,0-0,1,1,0,15,6,22,1,90,0,0,,,,1,,0,
T6C3SEdragon,0,Chthoteuthis,drg_sea_v1.lvl,sorcerer,Pelagic Horror,5,iceElement,A nightmare of the sea. This beast haunts the briny depths.,Look for the dragon at the breeding grounds,dragon_sea_v1_discovered_thumbnail.png,dragon_sea_undiscovered_thumbnail.png,dragonThumbnail_sea_v1.png,dragonThumbnail_sea_undiscovered.png,T6C3SEdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,80,12,6,1512000,,6,30,,goldEggCurrency,egg_gold_V12.lvl,0-0,0-0,1,1,0,15,6,23,1,90,0,0,,,,1,,0,
penguin,0,Donivalis,drg_dodoPenguin.lvl,sorcerer,Arctic Destroyer,5,iceElement,This dragon blends into the night.,Look for the dragon at the breeding grounds,dragon_dodoPenguin_discovered_thumbnail.png,dragon_dodo_undiscovered_thumbnail.png,dragonThumbnail_dodoPenguin.png,dragonThumbnail_dodoBlue_undiscovered.png,penguinUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,21,12,6,756000,,2,30,,goldEggCurrency,egg_gold_V8.lvl,0-0,0-0,1,1,0,15,6,24,1,220,0,0,penguinBreed,DodoDragonBreeding.csv,,1,1,0,
kothDragon,0,Sobek,drg_alligator_v1.lvl,warrior,Reptilian Dragon,5,iceElement,This dragon blends into the night.,Look for the dragon at the breeding grounds,dragon_alligator_v1_discovered_thumbnail.png,dragon_alligator_undiscovered_thumbnail.png,dragonThumbnail_alligator_v1.png,dragonThumbnail_alligator_undiscovered.png,kothDragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,81,12,5,367200,,5,30,,greenEggCurrency,egg_green_V3.lvl,0-0,0-0,1,1,0,15,5,50,1,120,0,0,maySobekAchievement,KothDragonBreeding.csv,,1,,0,
skothDragon,0,Droyeuse,drg_blade_v3.lvl,warrior,Blade Dragon,5,earthElement,This dragon blends into the night.,Look for the dragon at the breeding grounds,dragon_blade_v3_discovered_thumbnail.png,dragon_blade_undiscovered_thumbnail.png,dragonThumbnail_blade_v1.png,dragonThumbnail_blade_undiscovered.png,skothDragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,82,12,6,756000,,6,30,,goldEggCurrency,egg_gold_V12.lvl,0-0,0-0,1,1,0,15,6,51,1,240,0,0,skothBreed,SkothDragonBreeding.csv,,1,,0,
seaDragon,0,Jaculus,drg_arctic_v1.lvl,sorcerer,Arctic Dragon,4,iceElement,This dragon blends into the night.,Look for the dragon at the breeding grounds,dragon_arctic_v1_discovered_thumbnail.png,dragon_arctic_undiscovered_thumbnail.png,dragonThumbnail_arctic_v1.png,dragonThumbnail_arctic_undiscovered.png,seaDragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,83,8,3,82080,,3,20,,blueEggCurrency,egg_blue_V4.lvl,0-0,0-0,1,1,0,15,3,52,1,120,0,0,testLTOdragonAchievement,DodoDragonBreeding.csv,,1,,0,
yaziDragon,0,Yazi,drg_alligator_v3.lvl,warrior,Alligator Dragon,4,earthElement,Extra sharp teeth make tearing through opposition easy for this dragon.,Look for the dragon at the breeding grounds,dragon_alligator_v3_discovered_thumbnail.png,dragon_alligator_undiscovered_thumbnail.png,dragonThumbnail_alligator_v3.png,dragonThumbnail_alligator_undiscovered.png,yaziDragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,84,8,3,82080,,3,20,,blueEggCurrency,egg_blue_V6.lvl,0-0,0-0,1,1,0,15,3,53,1,120,0,0,testLTOdragonAchievement,DodoDragonBreeding.csv,,1,,0,
bixiDragon,0,Bixi,drg_snapping_v1.lvl,warrior,Turtle Dragon,5,iceElement,Strength incarnate. Armored plates keep it safe.,Look for the dragon at the breeding grounds,dragon_snapping_v1_discovered_thumbnail.png,dragon_snapping_undiscovered_thumbnail.png,dragonThumbnail_snapping_v1.png,dragonThumbnail_snapping_undiscovered.png,bixiDragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,85,12,5,367200,,5,30,,greenEggCurrency,egg_green_V3.lvl,0-0,0-0,1,1,0,15,5,11,1,120,0,0,testLTOdragonAchievement,DodoDragonBreeding.csv,,1,,0,
newYearDragon,0,Meridian,drg_chineseNewYear.lvl,sorcerer,Lunar Dragon,5,windElement,Infused with the power of the Moon.,Look for the dragon at the breeding grounds,dragon_chineseNewYear_discovered_thumbnail.png,dragon_chineseNewYear_undiscovered_thumbnail.png,dragonThumbnail_chineseNewYear.png,dragonThumbnail_chineseNewYear_undiscovered.png,newYearDragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,86,12,6,756000,,6,30,,goldEggCurrency,egg_gold_V12.lvl,0-0,0-0,1,1,0,15,6,23,1,240,0,0,newYearDragonBreed,NewYearDragonBreeding.csv,,1,,0,
marchGreenDragon,0,Samnite,drg_holySorcerer.lvl,sorcerer,Gladiator Dragon,5,windElement,Master fighter that loves attention and is quick to jealousy.,Look for the dragon at the breeding grounds,dragon_holySorcerer_discovered_thumbnail.png,dragon_holySorcerer_undiscovered_thumbnail.png,dragonThumbnail_holySorcerer_discovered.png,dragonThumbnail_holySorcerer_undiscovered.png,marchGreenDragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,12,12,5,367200,,5,30,,greenEggCurrency,egg_green_V12.lvl,0-0,0-0,1,1,0,15,5,2,1,120,0,0,testLTOdragonAchievement,DodoDragonBreeding.csv,,1,,0,
marchGoldDragon,0,Dimachaerus,drg_holyHunter.lvl,hunter,Gladiator Dragon,5,fireElement,Combat incarnate. Avatar of dueling and honor in competition.,Look for the dragon at the breeding grounds,dragon_holyHunter_discovered_thumbnail.png,dragon_holyHunter_undiscovered_thumbnail.png,dragonThumbnail_holyHunter_discovered.png,dragonThumbnail_holyHunter_undiscovered.png,marchGoldDragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,76,12,6,756000,,6,30,,goldEggCurrency,egg_gold_V8.lvl,0-0,0-0,1,1,0,15,6,19,1,240,0,0,marchGoldDragonBreed,MarchGoldDragonBreeding.csv,,1,,0,
androidDragon,0,Dioskouri,drg_twoHeaded_v3.lvl,sorcerer,Enigma Dragon,3,fireElement,One head only tells lies and the other head only devours people.,Look for the dragon at the breeding grounds,dragon_twoHeaded_v3_discovered_thumbnail.png,dragon_twoHeaded_undiscovered_thumbnail.png,dragonThumbnail_twoHeaded_v3.png,dragonThumbnail_twoHeaded_undiscovered.png,androidDragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,0,6,6,2,23760,,2,15,,purpleEggCurrency,egg_purple_V10.lvl,0-0,0-0,0,1,0,15,2,4,0,,0,0,testLTOdragonAchievement,DodoDragonBreeding.csv,,1,,0,
marchBlueDragon,0,Thraex,drg_holyWarrior.lvl,warrior,Gladiator Dragon,4,earthElement,Thrives on combat and competition.,Look for the dragon at the breeding grounds,dragon_holyWarrior_discovered_thumbnail.png,dragon_holyWarrior_undiscovered_thumbnail.png,dragonThumbnail_holyWarrior_discovered.png,dragonThumbnail_holyWarrior_undiscovered.png,marchBlueDragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,85,8,3,82080,,3,20,,blueEggCurrency,egg_blue_V4.lvl,0-0,0-0,0,1,0,15,3,54,1,120,0,0,testLTOdragonAchievement,DodoDragonBreeding.csv,,1,,0,
T7C1WDdragon,0,Mune,drg_blade_v2.lvl,warrior,Razor Dragon,3,earthElement,Sharp and thin claws help this dragon pierce between layers of armor.,Look for the dragon at the breeding grounds,dragon_blade_v2_discovered_thumbnail.png,dragon_blade_undiscovered_thumbnail.png,dragonThumbnail_blade_v2.png,dragonThumbnail_blade_undiscovered.png,T7C1WDdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,86,6,7,1663200,,7,15,,platinumEggCurrency,egg_platinum_V1.lvl,0-0,0-0,0,1,0,15,7,1,1,120,0,0,,,,1,,0,
T7C1SIdragon,0,Cerbero,drg_twoHeaded_v2.lvl,sorcerer,Frozen Serpent,3,iceElement,Sees in infrared vision.,Look for the dragon at the breeding grounds,dragon_twoHeaded_v2_discovered_thumbnail.png,dragon_twoHeaded_undiscovered_thumbnail.png,dragonThumbnail_twoHeaded_v2.png,dragonThumbnail_twoHeaded_undiscovered.png,T7C1SIdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,87,6,7,1663200,,7,15,,platinumEggCurrency,egg_platinum_V2.lvl,0-0,0-0,0,1,0,15,7,2,1,120,0,0,,,,1,,0,
T7C1HFdragon,0,Nosfer,drg_vampire_v1.lvl,hunter,Vampiric Drake,3,darkElement,Nocturnal predator.,Look for the dragon at the breeding grounds,dragon_vampire_v1_discovered_thumbnail.png,dragon_vampire_v1_undiscovered_thumbnail.png,dragonThumbnail_vampire_v1.png,dragonThumbnail_vampire_undiscovered.png,T7C1HFdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,88,6,7,1663200,,7,15,,platinumEggCurrency,egg_platinum_V3.lvl,0-0,0-0,0,1,0,15,7,3,1,120,0,0,,,,1,,0,
T7C2WIdragon,0,Kulan,drg_jungle_v2.lvl,warrior,Wisdom Dragon,4,fireElement,Can read the memories of its prey.,Look for the dragon at the breeding grounds,dragon_jungle_v2_discovered_thumbnail.png,dragon_jungle_undiscovered_thumbnail.png,dragonThumbnail_jungle_v2.png,dragonThumbnail_jungle_undiscovered.png,T7C2WIdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,89,8,7,2268000,,7,20,,platinumEggCurrency,egg_platinum_V4.lvl,0-0,0-0,0,1,0,15,7,4,1,200,0,0,,,,1,,0,
T7C2SEdragon,0,Cryzan,drg_arctic_v2.lvl,sorcerer,Frozen Dragon,4,iceElement,Attracted to the coldest of places.,Look for the dragon at the breeding grounds,dragon_arctic_v2_discovered_thumbnail.png,dragon_arctic_undiscovered_thumbnail.png,dragonThumbnail_arctic_v2.png,dragonThumbnail_arctic_undiscovered.png,T7C2SEdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,90,8,7,2268000,,7,20,,platinumEggCurrency,egg_platinum_V5.lvl,0-0,0-0,0,1,0,15,7,5,1,200,0,0,,,,1,,0,
T7C2HFdragon,0,Necura,drg_vampire_v2.lvl,hunter,Voracious Drake,4,darkElement,Hunts regardless of hunger.,Look for the dragon at the breeding grounds,dragon_vampire_v2_discovered_thumbnail.png,dragon_vampire_v2_undiscovered_thumbnail.png,dragonThumbnail_vampire_v2.png,dragonThumbnail_vampire_undiscovered.png,T7C2HFdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,91,8,7,2268000,,7,20,,platinumEggCurrency,egg_platinum_V6.lvl,0-0,0-0,0,1,0,15,7,6,1,200,0,0,,,,1,,0,
T7C2HDdragon,0,Jagra,drg_spined_v1.lvl,hunter,Razor Drake,4,earthElement,If you see this dragon it's already too late.,Look for the dragon at the breeding grounds,dragon_spined_v1_discovered_thumbnail.png,dragon_spined_undiscovered_thumbnail.png,dragonThumbnail_spined_v1.png,dragonThumbnail_spined_undiscovered.png,T7C2HDdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,92,8,7,2268000,,7,20,,platinumEggCurrency,egg_platinum_V7.lvl,0-0,0-0,0,1,0,15,7,7,1,200,0,0,,,,1,,0,
T7C3WEdragon,0,Quetz,drg_jungle_v1.lvl,warrior,Feathered Serpent,5,windElement,Seems attuned to the rotations of the sun.,Look for the dragon at the breeding grounds,dragon_jungle_v1_discovered_thumbnail.png,dragon_jungle_undiscovered_thumbnail.png,dragonThumbnail_jungle_v1.png,dragonThumbnail_jungle_undiscovered.png,T7C3WEdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,93,12,7,2419200,,7,35,,platinumEggCurrency,egg_platinum_V8.lvl,0-0,0-0,0,1,0,15,7,8,1,400,0,0,,,,1,,0,
T7C3SFdragon,0,Vulcan,drg_flux_v2.lvl,sorcerer,Volcanic Gemini,5,fireElement,No fire is hot enough to keep this dragon warm.,Look for the dragon at the breeding grounds,dragon_flux_v2_discovered_thumbnail.png,dragon_flux_v2_undiscovered_thumbnail.png,dragonThumbnail_flux_v2_discovered.png,dragonThumbnail_flux_undiscovered.png,T7C3SFdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,94,12,7,2419200,,7,35,,platinumEggCurrency,egg_platinum_V9.lvl,0-0,0-0,0,1,0,15,7,9,1,400,0,0,,,,1,,0,
T7C3SIdragon,0,Kelvin,drg_flux_v1.lvl,sorcerer,Glacial Gemini,5,iceElement,The mere touch of this dragon's skin can cause instant hypothermia.,Look for the dragon at the breeding grounds,dragon_flux_v1_discovered_thumbnail.png,dragon_flux_v1_undiscovered_thumbnail.png,dragonThumbnail_flux_v1_discovered.png,dragonThumbnail_flux_undiscovered.png,T7C3SIdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,95,12,7,2419200,,7,35,,platinumEggCurrency,egg_platinum_V10.lvl,0-0,0-0,0,1,0,15,7,10,1,400,0,0,,,,1,,0,
T7C3WIdragon,0,Kaiju,drg_hulk_v1.lvl,warrior,Hulking Monster,5,darkElement,Typhoon portend this dragon's arrival.,Look for the dragon at the breeding grounds,dragon_hulk_discovered_thumbnail.png,dragon_hulk_undiscovered_thumbnail.png,dragonThumbnail_hulk_discovered.png,dragonThumbnail_hulk_undiscovered.png,T7C3WIdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,96,12,7,2419200,,7,35,,platinumEggCurrency,egg_platinum_V11.lvl,0-0,0-0,0,1,0,15,7,11,1,400,0,0,,,,1,,0,
T7C3HDdragon,0,Rizar,drg_spined_v3.lvl,hunter,Spined Hunter,5,earthElement,Microhooks on this dragon's spikes make it hard to escape its grasp,Look for the dragon at the breeding grounds,dragon_spined_v3_discovered_thumbnail.png,dragon_spined_undiscovered_thumbnail.png,dragonThumbnail_spined_v3.png,dragonThumbnail_spined_undiscovered.png,T7C3HDdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,97,12,7,2419200,,7,30,,platinumEggCurrency,egg_platinum_V12.lvl,0-0,0-0,0,1,0,15,7,12,1,400,0,0,,,,1,,0,
aprilGoldDragon,0,Fennrok,drg_crimsonRune.lvl,warrior,Runic Dragon,5,windElement,Surges with the power of the runes as it destroys lands and obliterates armies.,Look for the dragon at the breeding grounds,dragon_crimsonRune_discovered_thumbnail.png,dragon_crimsonRune_undiscovered_thumbnail.png,dragonThumbnail_crimsonRune.png,dragonThumbnail_crimsonRune_undiscovered.png,aprilGoldDragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,88,12,6,756000,,6,30,,goldEggCurrency,egg_gold_V11.lvl,0-0,0-0,1,1,0,15,6,20,1,240,0,0,aprilGoldDragonBreed,AprilGoldDragonBreeding.csv,,1,,0,
aprilBlueDragon,0,Kinnarakku,drg_noblePreyRune.lvl,sorcerer,Runic Dragon,4,windElement,A merciless force that has been altered and empowered by the magic of the Runes.,Look for the dragon at the breeding grounds,dragon_noblePreyRune_discovered_thumbnail.png,dragon_noblePreyRune_undiscovered_thumbnail.png,dragonThumbnail_noblePreyRune.png,dragonThumbnail_noblePreyRune_undiscovered.png,aprilBlueDragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,87,10,3,82080,,3,25,,blueEggCurrency,egg_blue_V11.lvl,0-0,0-0,1,1,0,15,3,55,1,15,0,0,testLTOdragonAchievement,DodoDragonBreeding.csv,,1,,0,
mayPlatinumDragon,0,Infernicus,drg_flameSerpent.lvl,sorcerer,Fire Dragon,4,fireElement,Rumored to have transformed lush forests into barren deserts simply by nesting there,Look for the dragon at the breeding grounds,dragon_flameSerpent_discovered_thumbnail.png,dragon_flameSerpent_undiscovered_thumbnail.png,dragonThumbnail_flameSerpent_discovered.png,dragonThumbnail_flameSerpent_undiscovered.png,mayPlatinumDragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,99,12,7,2419200,,7,20,,platinumEggCurrency,egg_platinum_V12.lvl,0-0,0-0,1,1,0,15,7,13,1,200,0,0,mayPlatinumDragonBreed,MayPlatinumDragonBreeding.csv,,1,1,0,
mayBlueDragon,0,Magmorr,drg_flameWarrior.lvl,warrior,Fire Dragon,4,fireElement,Heat waves from its body distort the aim of its foes,Look for the dragon at the breeding grounds,dragon_flameWarrior_discovered_thumbnail.png,dragon_flameWarrior_undiscovered_thumbnail.png,dragonThumbnail_flameWarrior_discovered.png,dragonThumbnail_flameWarrior_undiscovered.png,mayBlueDragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,98,12,3,82080,,3,26,,blueEggCurrency,egg_blue_V11.lvl,0-0,0-0,1,1,0,15,3,56,1,15,0,0,testLTOdragonAchievement,DodoDragonBreeding.csv,,1,,0,
juneTwitchDragon,0,Necroth,drg_twitch.lvl,warrior,The People's Dragon,5,darkElement,An immensely powerful demon rumored to rule all of the elements and time itself.,Look for the dragon at the breeding grounds,dragon_twitch_discovered_thumbnail.png,dragon_twitch_undiscovered_thumbnail.png,dragonThumbnail_twitch_discovered.png,dragonThumbnail_twitch_undiscovered.png,juneTwitchDragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,100,12,7,43200,,1,50,,redEggCurrency,egg_red_V14.lvl,0-0,0-0,1,1,0,15,1,100,1,3,0,0,testLTOdragonAchievement,DodoDragonBreeding.csv,1,1,1,0,
pbogDragon,0,Phweemp,drg_cartoon.lvl,warrior,The Destroyer,5,darkElement,Harbinger of Doom and Destruction,Look for the dragon at the breeding grounds,dragon_cartoon_discovered_thumbnail.png,dragon_cartoon_undiscovered_thumbnail.png,dragonThumbnail_cartoon_discovered.png,dragonThumbnail_cartoon_undiscovered.png,pbogDragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,101,12,1,3,,1,50,,platinumEggCurrency,egg_platinum_V12.lvl,0-0,0-0,1,1,0,15,7,101,1,20,0,0,testLTOdragonAchievement,DodoDragonBreeding.csv,,0,1,0,
julyBlueDragon,0,Grumble,drg_undead_skeletalSorcerer2_v2.lvl,sorcerer,Ruthless Sorcerer,4,darkElement,Eats. Sleeps. Destroys.,Look for the dragon at the breeding grounds,dragon_skeletalSorcerer2_v2_discovered_thumbnail.png,dragon_skeletalSorcerer2_undiscovered_thumbnail.png,dragonThumbnail_skeletalSorcerer_v2.png,dragonThumbnail_skeletalSorcerer_undiscovered.png,julyBlueDragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,101,1,3,82080,,2,25,,blueEggCurrency,egg_blue_V11.lvl,0-0,0-0,1,1,0,15,3,56,1,3,0,0,testLTOdragonAchievement,DodoDragonBreeding.csv,,1,,0,
julyPlatinumDragon,0,Lochsvur,drg_water_wyvern_blackblood.lvl,hunter,Ruthless Wyvern,5,iceElement,A sign of good luck for Blackbloods and bad luck for villagers.,Look for the dragon at the breeding grounds,dragon_blackblood_water_wyvern_discovered_thumbnail.png,dragon_blackblood_water_wyvern_undiscovered_thumbnail.png,dragonThumbnail_blackblood_water_wyvern_discovered.png,dragonThumbnail_blackblood_water_wyvern_undiscovered.png,julyPlatinumDragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,102,1,7,2419200,,7,30,,platinumEggCurrency,egg_platinum_V12.lvl,0-0,0-0,1,1,0,15,7,13,1,200,0,0,julyPlatinumDragonBreed,JulyPlatinumDragonBreeding.csv,,1,1,0,
augustPlatinumDragon,0,Sigurd,drg_sea_v3.lvl,sorcerer,Guardian Drake,5,darkElement,Guardian of the undead sea.,Look for the dragon at the breeding grounds,dragon_sea_v3_discovered_thumbnail.png,dragon_sea_undiscovered_thumbnail.png,dragonThumbnail_sea_v3.png,dragonThumbnail_sea_undiscovered.png,augustPlatinumDragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,103,1,3,82080,,2,30,,blueEggCurrency,egg_blue_V11.lvl,0-0,0-0,1,1,0,15,3,57,1,1,0,0,testLTOdragonAchievement,DodoDragonBreeding.csv,1,1,1,0,
T8C3WEdragon,0,Scorchil,drg_metalWarrior2_v2.lvl,warrior,Shard of Gaia,5,earthElement,Protector of the shifting sands.,Look for the dragon at the breeding grounds,dragon_metalWarrior2_v2_discovered_thumbnail.png,dragon_metalWarrior2_undiscovered_thumbnail.png,dragonThumbnail_metalWarrior2_v2.png,dragonThumbnail_metalWarrior2_undiscovered.png,T8C3WEdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,104,12,8,2570400,,8,30,,sapphireEggCurrency,egg_sapphire_V1.lvl,0-0,0-0,1,1,0,15,8,1,1,500,0,0,,,,1,,0,
T8C3SAdragon,0,Iteru,drg_egyptianSorcerer.lvl,sorcerer,Winds of Carnage,5,windElement,There is no calm before this storm.,Look for the dragon at the breeding grounds,dragon_egyptianSorcerer_discovered_thumbnail.png,dragon_egyptianSorcerer_undiscovered_thumbnail.png,dragonThumbnail_egyptianSorcerer_discovered.png,dragonThumbnail_egyptianSorcerer_undiscovered.png,T8C3SAdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,105,12,8,2570400,,8,30,,sapphireEggCurrency,egg_sapphire_V2.lvl,0-0,0-0,1,1,0,15,8,2,1,500,0,0,,,,1,,0,
T8C3HIdragon,0,Sekhem,drg_egyptianDrake.lvl,hunter,Icy Raptor,5,iceElement,With a frightful cry from above Sekhem strikes!,Look for the dragon at the breeding grounds,dragon_egyptianDrake_discovered_thumbnail.png,dragon_egyptianDrake_undiscovered_thumbnail.png,dragonThumbnail_egyptianDrake_discovered.png,dragonThumbnail_egyptianDrake_undiscovered.png,T8C3HIdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,106,12,8,2570400,,8,30,,sapphireEggCurrency,egg_sapphire_V3.lvl,0-0,0-0,1,1,0,15,8,3,1,500,0,0,,,,1,,0,
T8C3WDdragon,0,Anapa,drg_egyptianWarrior.lvl,warrior,Tomb Guardian,5,darkElement,Oversees the passage of the dead.,Look for the dragon at the breeding grounds,dragon_egyptianWarrior_discovered_thumbnail.png,dragon_egyptianWarrior_undiscovered_thumbnail.png,dragonThumbnail_egyptianWarrior_discovered.png,dragonThumbnail_egyptianWarrior_undiscovered.png,T8C3WDdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,107,12,8,2570400,,8,30,,sapphireEggCurrency,egg_sapphire_V4.lvl,0-0,0-0,1,1,0,15,8,4,1,500,0,0,,,,1,,0,
T8C3SIdragon,0,Chompa,drg_undead_diablo_v2.lvl,sorcerer,Fury of the River,5,iceElement,Named for what it does best.,Look for the dragon at the breeding grounds,dragon_diablo2_v2_discovered_thumbnail.png,dragon_diablo2_undiscovered_thumbnail.png,dragonThumbnail_diablo_v2.png,dragonThumbnail_diablo_undiscovered.png,T8C3SIdragonUpgrades.csv,,downloadDragons,1000,food:100,,0~20~40,1,108,12,8,2570400,,8,30,,sapphireEggCurrency,egg_sapphire_V5.lvl,0-0,0-0,1,1,0,15,8,5,1,500,0,0,,,,1,,0,
