identifier,displayName,location,fragments,defaultMaxAmountOwned,priority,compatibleDragons,sceneFile,iconFile,undiscoveredIconFile,flavorText,canBeObtained,h
reduxRoman_tail_H_v1_armor,(ARMOR)RED Hunter Tail,tail,1,1,145,T4C1HFdragon|T7C2HFdragon|T7C1HFdragon,ar_roman_classB_tailSet_red.lvl,icon_ar_roman_red_tail.png,icon_ar_roman_generic_tail_locked.png,Earned through a special event,1,
reduxRoman_wing_H_v1_armor,(ARMOR)RED Hunter Wing,wing,1,1,146,T7C2HFdragon|T7C1HFdragon,ar_roman_classB_wingSet_red.lvl,icon_ar_roman_red_wing.png,icon_ar_roman_generic_wing_locked.png,Earned through a special event,1,
reduxEgyptian_mask_C_armor,(ARMOR)RED Warrior Helm,helm,1,1,147,T1C2WIdragon|T1C1WFdragon|T4C3WFdragon|T1GGWFdragon|aprilGoldDragon,ar_egyptian_classC_red_neckSet.lvl,icon_ar_egyptian_helm_red.png,icon_ar_egyptian_helm_locked.png,Earned through a special event,1,
reduxEgyptian_body_C_armor,(ARMOR)RED Warrior Plate,body,1,1,148,T1C1WFdragon|T4C3WFdragon|T1GGWFdragon|aprilGoldDragon,ar_egyptian_classC_red_legSet.lvl,icon_ar_egyptian_body_red.png,icon_ar_egyptian_body_locked.png,Earned through a special event,1,
reduxEgyptian_tail_C_armor,(ARMOR)RED Warrior Tail,tail,1,1,149,T1C2WIdragon|T1C1WFdragon|T4C3WFdragon|T1GGWFdragon|aprilGoldDragon,ar_egyptian_classC_red_tailSet.lvl,icon_ar_egyptian_tail_red.png,icon_ar_egyptian_tail_locked.png,Earned through a special event,1,
reduxEgyptian_mask_D_armor,(ARMOR)RED Sorcerer Helm,helm,1,1,150,T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T2C3SEdragon|T3C2SEdragon|T5C2SEdragon,ar_egyptian_classD_red_neckSet.lvl,icon_ar_egyptian_helm_red.png,icon_ar_egyptian_helm_locked.png,Earned through a special event,1,
reduxEgyptian_body_D_armor,(ARMOR)RED Sorcerer Plate,body,1,1,151,T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T2C3SEdragon|T3C2SEdragon|T5C2SEdragon,ar_egyptian_classD_red_legSet.lvl,icon_ar_egyptian_body_red.png,icon_ar_egyptian_body_locked.png,Earned through a special event,1,
reduxEgyptian_tail_D_armor,(ARMOR)RED Sorcerer Tail,tail,1,1,152,T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T2C3SEdragon|T3C2SEdragon|T5C2SEdragon,ar_egyptian_classD_red_tailSet.lvl,icon_ar_egyptian_tail_red.png,icon_ar_egyptian_tail_locked.png,Earned through a special event,1,
xmas_ushanka_H_v1,Hunter's Ushanka,helm,1,,153,julyPlatinumDragon|T5C1HIdragon|T6C3HIdragon|T7C2HDdragon|T7C3HDdragon|T2C1HIdragon|T3GGHEdragon|T6C1HEdragon|T2C2HEdragon|T1C1HIdragon,ar_christmas_classBv1_ushanka.lvl,icon_ar_christmas_ushanka.png,icon_ar_christmas_ushanka_locked.png,Keep your dragon's head warm with this military-grade fur hat.,1,
xmas_redNose_H_v1,Hunter's Red Nose,helm,1,,154,julyPlatinumDragon|T5C1HIdragon|T6C3HIdragon|T7C2HDdragon|T7C3HDdragon|T2C1HIdragon|T3GGHEdragon|T6C1HEdragon|T2C2HEdragon|T1C1HIdragon,ar_christmas_classBv1_redNose.lvl,icon_ar_christmas_redNose.png,icon_ar_christmas_redNose_locked.png,Won't you guide my slay tonight?,1,
xmas_santa_H_v1,Hunter's Winter Cap ,helm,1,,155,julyPlatinumDragon|T5C1HIdragon|T6C3HIdragon|T7C2HDdragon|T7C3HDdragon|T2C1HIdragon|T3GGHEdragon|T6C1HEdragon|T2C2HEdragon|T1C1HIdragon,ar_christmas_classBv1_santa.lvl,icon_ar_christmas_santa.png,icon_ar_christmas_santa_locked.png,Ho Ho Ho!,1,
xmas_antlers_H_v1,Hunter's Festive Antlers,helm,1,,156,julyPlatinumDragon|T5C1HIdragon|T6C3HIdragon|T7C2HDdragon|T7C3HDdragon|T2C1HIdragon|T3GGHEdragon|T6C1HEdragon|T2C2HEdragon|T1C1HIdragon,ar_christmas_classBv1_antlers.lvl,icon_ar_christmas_antlers.png,icon_ar_christmas_antlers_locked.png,Show some holiday cheer with these light-up horns.,1,
xmas_ushanka_H_v2,Rogue's Ushanka,helm,1,,157,nightshadeSapphireDragon|T7C1HFdragon|T7C2HFdragon|T4C2HUdragon|T5C3HUdragon|T3C2HUdragon|T5C2HDdragon|T4C3HDdragon|T6C2HUdragon|T2C1HUdragon|T6C3HUdragon|OrmarrLTODragon|T4C1HFdragon,ar_christmas_classBv2_ushanka.lvl,icon_ar_christmas_ushanka.png,icon_ar_christmas_ushanka_locked.png,Keep your dragon's head warm with this military-grade fur hat.,1,
xmas_redNose_H_v2,Rogue's Red Nose,helm,1,,158,nightshadeSapphireDragon|T7C1HFdragon|T7C2HFdragon|T4C2HUdragon|T5C3HUdragon|T3C2HUdragon|T5C2HDdragon|T4C3HDdragon|T6C2HUdragon|T2C1HUdragon|T6C3HUdragon|OrmarrLTODragon|T4C1HFdragon,ar_christmas_classBv2_redNose.lvl,icon_ar_christmas_redNose.png,icon_ar_christmas_redNose_locked.png,Won't you guide my slay tonight?,1,
xmas_santa_H_v2,Rogue's Winter Cap ,helm,1,,159,nightshadeSapphireDragon|T7C1HFdragon|T7C2HFdragon|T4C2HUdragon|T5C3HUdragon|T3C2HUdragon|T5C2HDdragon|T4C3HDdragon|T6C2HUdragon|T2C1HUdragon|T6C3HUdragon|OrmarrLTODragon|T4C1HFdragon,ar_christmas_classBv2_santa.lvl,icon_ar_christmas_santa.png,icon_ar_christmas_santa_locked.png,Ho Ho Ho!,1,
xmas_antlers_H_v2,Rogue's Festive Antlers,helm,1,,160,nightshadeSapphireDragon|T7C1HFdragon|T7C2HFdragon|T4C2HUdragon|T5C3HUdragon|T3C2HUdragon|T5C2HDdragon|T4C3HDdragon|T6C2HUdragon|T2C1HUdragon|T6C3HUdragon|OrmarrLTODragon|T4C1HFdragon,ar_christmas_classBv2_antlers.lvl,icon_ar_christmas_antlers.png,icon_ar_christmas_antlers_locked.png,Show some holiday cheer with these light-up horns.,1,
xmas_ushanka_W_v1,Brute's Ushanka,helm,1,,161,T6C3WFdragon|T2C3WUdragon|T3C1WUdragon|T5C1WUdragon|LadonLTODragon|bixiDragon|T6C1WFdragon|T4C3WEdragon|T4C2WDdragon,ar_christmas_classA_ushanka.lvl,icon_ar_christmas_ushanka.png,icon_ar_christmas_ushanka_locked.png,Keep your dragon's head warm with this military-grade fur hat.,1,
xmas_redNose_W_v1,Brute's Red Nose,helm,1,,162,T6C3WFdragon|T2C3WUdragon|T3C1WUdragon|T5C1WUdragon|LadonLTODragon|bixiDragon|T6C1WFdragon|T4C3WEdragon|T4C2WDdragon,ar_christmas_classA_redNose.lvl,icon_ar_christmas_redNose.png,icon_ar_christmas_redNose_locked.png,Won't you guide my slay tonight?,1,
xmas_santa_W_v1,Brute's Winter Cap ,helm,1,,163,T6C3WFdragon|T2C3WUdragon|T3C1WUdragon|T5C1WUdragon|LadonLTODragon|bixiDragon|T6C1WFdragon|T4C3WEdragon|T4C2WDdragon,ar_christmas_classA_santa.lvl,icon_ar_christmas_santa.png,icon_ar_christmas_santa_locked.png,Ho Ho Ho!,1,
xmas_antlers_W_v1,Brute's Festive Antlers,helm,1,,164,T6C3WFdragon|T2C3WUdragon|T3C1WUdragon|T5C1WUdragon|LadonLTODragon|bixiDragon|T6C1WFdragon|T4C3WEdragon|T4C2WDdragon,ar_christmas_classA_antlers.lvl,icon_ar_christmas_antlers.png,icon_ar_christmas_antlers_locked.png,Show some holiday cheer with these light-up horns.,1,
xmas_ushanka_W_v2,Warrior's Ushanka,helm,1,,165,skarrSapphireDragon|yaziDragon|kothDragon|T1C1WFdragon|T4C3WFdragon|T1GGWFdragon|aprilGoldDragon|T2C3WEdragon|T4C1WUdragon|T7C2WIdragon|T7C3WEdragon|T5C3WEdragon|T6C1WIdragon|T5C1WDdragon|T2C3HIdragon|T3C3HFdragon|T4C1HEdragon|T5GGWUdragon|tarandDragon,ar_christmas_classC_ushanka.lvl,icon_ar_christmas_ushanka.png,icon_ar_christmas_ushanka_locked.png,Keep your dragon's head warm with this military-grade fur hat.,1,
xmas_redNose_W_v2,Warrior's Red Nose,helm,1,,166,skarrSapphireDragon|yaziDragon|kothDragon|T1C1WFdragon|T4C3WFdragon|T1GGWFdragon|aprilGoldDragon|T2C3WEdragon|T4C1WUdragon|T7C2WIdragon|T7C3WEdragon|T5C3WEdragon|T6C1WIdragon|T5C1WDdragon|T2C3HIdragon|T3C3HFdragon|T4C1HEdragon|T5GGWUdragon|tarandDragon,ar_christmas_classC_redNose.lvl,icon_ar_christmas_redNose.png,icon_ar_christmas_redNose_locked.png,Won't you guide my slay tonight?,1,
xmas_santa_W_v2,Warrior's Winter Cap ,helm,1,,167,skarrSapphireDragon|yaziDragon|kothDragon|T1C1WFdragon|T4C3WFdragon|T1GGWFdragon|aprilGoldDragon|T2C3WEdragon|T4C1WUdragon|T7C2WIdragon|T7C3WEdragon|T5C3WEdragon|T6C1WIdragon|T5C1WDdragon|T2C3HIdragon|T3C3HFdragon|T4C1HEdragon|T5GGWUdragon|tarandDragon,ar_christmas_classC_santa.lvl,icon_ar_christmas_santa.png,icon_ar_christmas_santa_locked.png,Ho Ho Ho!,1,
xmas_antlers_W_v2,Warrior's Festive Antlers,helm,1,,168,skarrSapphireDragon|yaziDragon|kothDragon|T1C1WFdragon|T4C3WFdragon|T1GGWFdragon|aprilGoldDragon|T2C3WEdragon|T4C1WUdragon|T7C2WIdragon|T7C3WEdragon|T5C3WEdragon|T6C1WIdragon|T5C1WDdragon|T2C3HIdragon|T3C3HFdragon|T4C1HEdragon|T5GGWUdragon|tarandDragon,ar_christmas_classC_antlers.lvl,icon_ar_christmas_antlers.png,icon_ar_christmas_antlers_locked.png,Show some holiday cheer with these light-up horns.,1,
xmas_ushanka_S,Sorcerer's Ushanka,helm,1,,169,ebonSapphireDragon|T7C2SEdragon|seaDragon|T5C3SIdragon|T6C1SFdragon|T3C2SEdragon|T2C3SEdragon|T5C2SEdragon|T5C3SDdragon|T4GGSDdragon|T4C1SDdragon|T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T6C3SEdragon|augustPlatinumDragon|T2C2SUdragon|T4C3SUdragon,ar_christmas_classD_ushanka.lvl,icon_ar_christmas_ushanka.png,icon_ar_christmas_ushanka_locked.png,Keep your dragon's head warm with this military-grade fur hat.,1,
xmas_redNose_S,Sorcerer's Red Nose,helm,1,,170,ebonSapphireDragon|T7C2SEdragon|seaDragon|T5C3SIdragon|T6C1SFdragon|T3C2SEdragon|T2C3SEdragon|T5C2SEdragon|T5C3SDdragon|T4GGSDdragon|T4C1SDdragon|T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T6C3SEdragon|augustPlatinumDragon|T2C2SUdragon|T4C3SUdragon,ar_christmas_classD_redNose.lvl,icon_ar_christmas_redNose.png,icon_ar_christmas_redNose_locked.png,Won't you guide my slay tonight?,1,
xmas_santa_S,Sorcerer's Winter Cap ,helm,1,,171,ebonSapphireDragon|T7C2SEdragon|seaDragon|T5C3SIdragon|T6C1SFdragon|T3C2SEdragon|T2C3SEdragon|T5C2SEdragon|T5C3SDdragon|T4GGSDdragon|T4C1SDdragon|T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T6C3SEdragon|augustPlatinumDragon|T2C2SUdragon|T4C3SUdragon,ar_christmas_classD_santa.lvl,icon_ar_christmas_santa.png,icon_ar_christmas_santa_locked.png,Ho Ho Ho!,1,
xmas_antlers_S,Sorcerer's Festive Antlers,helm,1,,172,ebonSapphireDragon|T7C2SEdragon|seaDragon|T5C3SIdragon|T6C1SFdragon|T3C2SEdragon|T2C3SEdragon|T5C2SEdragon|T5C3SDdragon|T4GGSDdragon|T4C1SDdragon|T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T6C3SEdragon|augustPlatinumDragon|T2C2SUdragon|T4C3SUdragon,ar_christmas_classD_antlers.lvl,icon_ar_christmas_antlers.png,icon_ar_christmas_antlers_locked.png,Show some holiday cheer with these light-up horns.,1,
ar_restrained_classC,Poacher Boat Shackle,tail,1,1,153,T1C1WFdragon,ar_restrained_classC.lvl,icon_ar_egyptian_tail_red.png,icon_ar_egyptian_tail_locked.png,shows on dragon on poacher boat in world map,0,
spring_mohawk_H_v1,Hunter's Rad Mohawk,helm,1,,174,T5C1HIdragon|T6C3HIdragon|T7C2HDdragon|T7C3HDdragon|T2C1HIdragon|T3GGHEdragon|T6C1HEdragon|T2C2HEdragon|T1C1HIdragon,ar_spring_classBv1_mohawk.lvl,icon_ar_spring_mohawk.png,icon_ar_spring_mohawk_locked.png,Get totally radical with this exotic styled wig.,1,
spring_crown_H_v1,Hunter's Emerald Crown ,helm,1,,175,T5C1HIdragon|T6C3HIdragon|T7C2HDdragon|T7C3HDdragon|T2C1HIdragon|T3GGHEdragon|T6C1HEdragon|T2C2HEdragon|T1C1HIdragon,ar_spring_classBv1_crown.lvl,icon_ar_spring_crown.png,icon_ar_spring_crown_locked.png,Give your dragon a regal feel with this shining crown.,1,
spring_ranger_H_v1,Hunter's Ranger Hat,helm,1,,176,T5C1HIdragon|T6C3HIdragon|T7C2HDdragon|T7C3HDdragon|T2C1HIdragon|T3GGHEdragon|T6C1HEdragon|T2C2HEdragon|T1C1HIdragon,ar_spring_classBv1_ranger.lvl,icon_ar_spring_ranger.png,icon_ar_spring_ranger_locked.png,Patrol your domain under the brim of this hat.,1,
spring_mohawk_H_v2,Rogue's Rad Mohawk,helm,1,,177,nightshadeSapphireDragon|T7C1HFdragon|T7C2HFdragon|T4C2HUdragon|T5C3HUdragon|T3C2HUdragon|T5C2HDdragon|T4C3HDdragon|T6C2HUdragon|T2C1HUdragon|T6C3HUdragon|OrmarrLTODragon|T4C1HFdragon,ar_spring_classBv2_mohawk.lvl,icon_ar_spring_mohawk.png,icon_ar_spring_mohawk_locked.png,Get totally radical with this exotic styled wig.,1,
spring_crown_H_v2,Rogue's Emerald Crown ,helm,1,,178,nightshadeSapphireDragon|T7C1HFdragon|T7C2HFdragon|T4C2HUdragon|T5C3HUdragon|T3C2HUdragon|T5C2HDdragon|T4C3HDdragon|T6C2HUdragon|T2C1HUdragon|T6C3HUdragon|OrmarrLTODragon|T4C1HFdragon,ar_spring_classBv2_crown.lvl,icon_ar_spring_crown.png,icon_ar_spring_crown_locked.png,Give your dragon a regal feel with this shining crown.,1,
spring_ranger_H_v2,Rogue's Ranger Hat,helm,1,,179,nightshadeSapphireDragon|T7C1HFdragon|T7C2HFdragon|T4C2HUdragon|T5C3HUdragon|T3C2HUdragon|T5C2HDdragon|T4C3HDdragon|T6C2HUdragon|T2C1HUdragon|T6C3HUdragon|OrmarrLTODragon|T4C1HFdragon,ar_spring_classBv2_ranger.lvl,icon_ar_spring_ranger.png,icon_ar_spring_ranger_locked.png,Patrol your domain under the brim of this hat.,1,
spring_mohawk_W_v1,Brute's Rad Mohawk,helm,1,,180,T6C3WFdragon|T2C3WUdragon|T3C1WUdragon|T5C1WUdragon|LadonLTODragon|bixiDragon|T6C1WFdragon|T4C3WEdragon|T4C2WDdragon,ar_spring_classA_mohawk.lvl,icon_ar_spring_mohawk.png,icon_ar_spring_mohawk_locked.png,Get totally radical with this exotic styled wig.,1,
spring_crown_W_v1,Brute's Emerald Crown ,helm,1,,181,T6C3WFdragon|T2C3WUdragon|T3C1WUdragon|T5C1WUdragon|LadonLTODragon|bixiDragon|T6C1WFdragon|T4C3WEdragon|T4C2WDdragon,ar_spring_classA_crown.lvl,icon_ar_spring_crown.png,icon_ar_spring_crown_locked.png,Give your dragon a regal feel with this shining crown.,1,
spring_ranger_W_v1,Brute's Ranger Hat,helm,1,,182,T6C3WFdragon|T2C3WUdragon|T3C1WUdragon|T5C1WUdragon|LadonLTODragon|bixiDragon|T6C1WFdragon|T4C3WEdragon|T4C2WDdragon,ar_spring_classA_ranger.lvl,icon_ar_spring_ranger.png,icon_ar_spring_ranger_locked.png,Patrol your domain under the brim of this hat.,1,
spring_mohawk_W_v2,Warrior's Rad Mohawk,helm,1,,183,skarrSapphireDragon|yaziDragon|kothDragon|T1C1WFdragon|T4C3WFdragon|T1GGWFdragon|aprilGoldDragon|T2C3WEdragon|T4C1WUdragon|T7C2WIdragon|T7C3WEdragon|T5C3WEdragon|T6C1WIdragon|T2C3HIdragon|T3C3HFdragon|T4C1HEdragon|T5GGWUdragon|tarandDragon,ar_spring_classC_mohawk.lvl,icon_ar_spring_mohawk.png,icon_ar_spring_mohawk_locked.png,Get totally radical with this exotic styled wig.,1,
spring_crown_W_v2,Warrior's Emerald Crown ,helm,1,,184,skarrSapphireDragon|yaziDragon|kothDragon|T1C1WFdragon|T4C3WFdragon|T1GGWFdragon|aprilGoldDragon|T2C3WEdragon|T4C1WUdragon|T7C2WIdragon|T7C3WEdragon|T5C3WEdragon|T6C1WIdragon|T2C3HIdragon|T3C3HFdragon|T4C1HEdragon|T5GGWUdragon|tarandDragon,ar_spring_classC_crown.lvl,icon_ar_spring_crown.png,icon_ar_spring_crown_locked.png,Give your dragon a regal feel with this shining crown.,1,
spring_ranger_W_v2,Warrior's Ranger Hat,helm,1,,185,skarrSapphireDragon|yaziDragon|kothDragon|T1C1WFdragon|T4C3WFdragon|T1GGWFdragon|aprilGoldDragon|T2C3WEdragon|T4C1WUdragon|T7C2WIdragon|T7C3WEdragon|T5C3WEdragon|T6C1WIdragon|T2C3HIdragon|T3C3HFdragon|T4C1HEdragon|T5GGWUdragon|tarandDragon,ar_spring_classC_ranger.lvl,icon_ar_spring_ranger.png,icon_ar_spring_ranger_locked.png,Patrol your domain under the brim of this hat.,1,
spring_mohawk_S,Sorcerer's Rad Mohawk,helm,1,,186,ebonSapphireDragon|T7C2SEdragon|seaDragon|T5C3SIdragon|T6C1SFdragon|T3C2SEdragon|T2C3SEdragon|T5C2SEdragon|T5C3SDdragon|T4GGSDdragon|T4C1SDdragon|T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T6C3SEdragon|augustPlatinumDragon|T2C2SUdragon|T4C3SUdragon,ar_spring_classD_mohawk.lvl,icon_ar_spring_mohawk.png,icon_ar_spring_mohawk_locked.png,Get totally radical with this exotic styled wig.,1,
spring_crown_S,Sorcerer's Emerald Crown ,helm,1,,187,ebonSapphireDragon|T7C2SEdragon|seaDragon|T5C3SIdragon|T6C1SFdragon|T3C2SEdragon|T2C3SEdragon|T5C2SEdragon|T5C3SDdragon|T4GGSDdragon|T4C1SDdragon|T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T6C3SEdragon|augustPlatinumDragon|T2C2SUdragon|T4C3SUdragon,ar_spring_classD_crown.lvl,icon_ar_spring_crown.png,icon_ar_spring_crown_locked.png,Give your dragon a regal feel with this shining crown.,1,
spring_ranger_S,Sorcerer's Ranger Hat,helm,1,,188,ebonSapphireDragon|T7C2SEdragon|seaDragon|T5C3SIdragon|T6C1SFdragon|T3C2SEdragon|T2C3SEdragon|T5C2SEdragon|T5C3SDdragon|T4GGSDdragon|T4C1SDdragon|T4C2SEdragon|T1C3SIdragon|T2C3SFdragon|aprilBlueDragon|T6C3SEdragon|augustPlatinumDragon|T2C2SUdragon|T4C3SUdragon,ar_spring_classD_ranger.lvl,icon_ar_spring_ranger.png,icon_ar_spring_ranger_locked.png,Patrol your domain under the brim of this hat.,1,
winter_crown_gunnar,Gunnar's Ice Crown,helm,1,,189,E18Q4DiscountDragon,ar_christmas_v2_classB_iceCrown.lvl,icon_ar_christmas_iceCrown.png,icon_ar_christmas_iceCrown_locked.png,Give your dragon a chilly vibe with this ice crown!,1,
winter_crown_hildr,Hildr's Ice Crown,helm,1,,190,E18Q4SorcererDragon,ar_christmas_v2_classD_iceCrown.lvl,icon_ar_christmas_iceCrown.png,icon_ar_christmas_iceCrown_locked.png,Give your dragon a chilly vibe with this ice crown!,1,
winter_crown_trio,"Urd, Verd, and Skuld's Ice Crown",helm,1,,191,E18Q4MythicWarriorDragon,ar_christmas_v2_trio_iceCrown.lvl,icon_ar_christmas_iceCrown.png,icon_ar_christmas_iceCrown_locked.png,Give your dragon a chilly vibe with this ice crown!,1,
winter_viking_gunnar,Gunnar's Viking Helm,helm,1,,192,E18Q4DiscountDragon,ar_christmas_v2_classB_viking.lvl,icon_ar_christmas_viking.png,icon_ar_christmas_viking_locked.png,Give your dragon a warrior feel with this viking helm!,1,
winter_viking_hildr,Hildr's Viking Helm,helm,1,,193,E18Q4SorcererDragon,ar_christmas_v2_classD_viking.lvl,icon_ar_christmas_viking.png,icon_ar_christmas_viking_locked.png,Give your dragon a warrior feel with this viking helm!,1,
winter_viking_trio,"Urd, Verd, and Skuld's Viking Helm",helm,1,,194,E18Q4MythicWarriorDragon,ar_christmas_v2_trio_viking.lvl,icon_ar_christmas_viking.png,icon_ar_christmas_viking_locked.png,Give your dragon a warrior feel with this viking helm!,1,
winter_wreath_gunnar,Gunnar's Wreath,helm,1,,195,E18Q4DiscountDragon,ar_christmas_v2_classB_wreath.lvl,icon_ar_christmas_wreath.png,icon_ar_christmas_wreath_locked.png,Give your dragon a festive feel with this wreath!,1,
winter_wreath_hildr,Hildr's Wreath,helm,1,,196,E18Q4SorcererDragon,ar_christmas_v2_classD_wreath.lvl,icon_ar_christmas_wreath.png,icon_ar_christmas_wreath_locked.png,Give your dragon a festive feel with this wreath!,1,
winter_wreath_trio,"Urd, Verd and Skuld's Wreath",helm,1,,197,E18Q4MythicWarriorDragon,ar_christmas_v2_trio_wreath.lvl,icon_ar_christmas_wreath.png,icon_ar_christmas_wreath_locked.png,Give your dragon a festive feel with this wreath!,1,!@#idnioglcknopcbkn
