identifier,text,h
spell_heatstrokeSpell_spellName,Heatstroke,
spell_heatstrokeSpell_spellDescription,Fireball attack causing buildings to take damage over time.,
spell_everlastingHuntSpell_spellName,Everlasting Hunt,
spell_everlastingHuntSpell_spellDescription,"If dragon dies during duration, explodes back to life!",
spell_mysticBarrageSpell_spellName,Mystic Barrage,
spell_mysticBarrageSpell_spellDescription,Dragon deals greatly increased damage with its attacks,
spell_ExplosiveAegis_spellName,Explosive Aegis,
spell_ExplosiveAegis_spellDescription,Shields dragon. Next cast damages and debuffs towers.,
worldSurrenderedContinent,Your team has surrendered castle {NAME} to {ENEMY},
native_gacha_maintenance_title,Maintenance Period,
native_gacha_maintenance_desc,"Sorry, we are currently changing out the items in the armory, please check back soon!",
goldPackDescription,{AMOUNT} Gold Pack,
consume_gold_pack_fail_title,Failed to Use Gold Pack,
consume_gold_pack_fail_message,"Sorry, we were unable to apply your gold pack",
are_you_sure,Are You Sure?,
applying_blank_will_lose_blank_amount,You are applying a %@. %@ will be lost. Are you sure you want to continue?,
worldmap_quest_title_31,Explore Quests!,
worldmap_quest_title_32,Homeward!,
worldmap_quest_title_33,Castles,
worldmap_quest_title_5,Travel,
worldmap_quest_title_1,Gold Mining,
worldmap_quest_title_8,Hire Rider,
worldmap_quest_title_9,Bond Rider,
worldmap_quest_title_10,Rider Skills,
worldmap_quest_title_12,Craft Gear,
worldmap_quest_title_34,Equip Gear,
worldmap_quest_title_11,Defeat a Poacher,
worldmap_quest_title_13,Level Up Gear,
worldmap_quest_title_35,Rider Missions,
worldmap_quest_title_2,Train Troops,
worldmap_quest_title_4,Transfer Troops,
worldmap_quest_title_36,No Man's Land,
worldmap_quest_title_14,Kill Troops,
worldmap_quest_title_15,Revive Troops,
worldmap_quest_title_37,Earn Glory,
worldmap_quest_title_18,Level Up Primarch,
worldmap_quest_title_38,Atlas Events and Seasons,
worldmap_quest_title_w1,Weekly Quests,
worldmap_quest_title_w2,Destroy Castle Guards,
worldmap_quest_title_w3,Wipe out Primarchs,
worldmap_quest_title_w4,Craft Gear,
worldmap_quest_title_w5,Complete Rider Missions,
worldmap_quest_title_w6,Kill Troops,
worldmap_quest_title_w7,Train Troops,
worldmap_quest_title_w8,Revive Troops,
worldmap_quest_title_w9,Defeat Poachers,
worldmap_quest_title_w10,Mine Gold,
worldmap_quest_title_a1,Summon a Trapper,
worldmap_quest_title_a2,Summon a Taunter,
worldmap_quest_title_a3,Summon a Destroyer,
worldmap_quest_title_a4,Summon a Sieger,
worldmap_quest_title_a5,Trap an Enemy Primarch,
worldmap_quest_title_a6,Taunt an Enemy Primarch,
worldmap_quest_title_a7,Siege an Enemy Castle,
worldmap_quest_title_a8,Escape an Enemy's Taunt,
worldmap_quest_title_a9,Escape an Enemy's Trap,
worldmap_quest_title_a10,Destroy a Sieger at a friendly Castle,
worldmap_quest_title_a11,Hire a Defensive Rider,
worldmap_quest_title_a12,Craft a piece of Defensive Gear,
worldmap_quest_title_a13,Complete a 2-Star Rider Mission,
worldmap_quest_title_a14,Destroy a Castle Guard,
worldmap_quest_title_a15,3:1 Kill Ratio,
worldmap_quest_title_a16,>90% Glory Scaling,
worldmap_quest_title_a17,Earn Bonus Glory,
worldmap_quest_title_100,Upgrade Trapper to level 5,
worldmap_quest_title_101,Upgrade Trapper to level 10,
worldmap_quest_title_102,Upgrade Trapper to level 15,
worldmap_quest_title_103,Summon a Silver Tier Trapper,
worldmap_quest_title_104,Upgrade a Silver Tier Trapper to level 10,
worldmap_quest_title_105,Upgrade a Silver Tier Trapper to level 20,
worldmap_quest_title_106,Trap Enemy Primarchs I,
worldmap_quest_title_107,Trap Enemy Primarchs II,
worldmap_quest_title_108,Trap Enemy Primarchs III,
worldmap_quest_title_109,Trap Enemy Primarchs IV,
worldmap_quest_title_110,Trap Enemy Primarchs V,
worldmap_quest_title_111,Trap Enemy Primarchs VI,
worldmap_quest_title_112,Upgrade Taunter to level 5,
worldmap_quest_title_113,Upgrade Taunter to level 10,
worldmap_quest_title_114,Upgrade Taunter to level 15,
worldmap_quest_title_115,Summon a Silver Tier Taunter,
worldmap_quest_title_116,Upgrade a Silver Tier Taunter to level 10,
worldmap_quest_title_117,Upgrade a Silver Tier Taunter to level 20,
worldmap_quest_title_118,Taunt Enemy Primarchs I,
worldmap_quest_title_119,Taunt Enemy Primarchs II,
worldmap_quest_title_120,Taunt Enemy Primarchs III,
worldmap_quest_title_121,Taunt Enemy Primarchs IV,
worldmap_quest_title_122,Taunt Enemy Primarchs V,
worldmap_quest_title_123,Taunt Enemy Primarchs VI,
worldmap_quest_title_124,Upgrade Destroyer to level 5,
worldmap_quest_title_125,Upgrade Destroyer to level 10,
worldmap_quest_title_126,Upgrade Destroyer to level 15,
worldmap_quest_title_127,Summon a Silver Tier Destroyer,
worldmap_quest_title_128,Upgrade a Silver Tier Destroyer to level 10,
worldmap_quest_title_129,Upgrade a Silver Tier Destroyer to level 20,
worldmap_quest_title_130,Attack Primarchs with your Destroyer I,
worldmap_quest_title_131,Attack Primarchs with your Destroyer II,
worldmap_quest_title_132,Attack Primarchs with your Destroyer III,
worldmap_quest_title_133,Attack Primarchs with your Destroyer IV,
worldmap_quest_title_134,Attack Primarchs with your Destroyer V,
worldmap_quest_title_135,Attack Primarchs with your Destroyer VI,
worldmap_quest_title_136,Defend an attack with your Destroyer I,
worldmap_quest_title_137,Defend an attack with your Destroyer II,
worldmap_quest_title_138,Defend an attack with your Destroyer III,
worldmap_quest_title_139,Defend an attack with your Destroyer IV,
worldmap_quest_title_140,Defend an attack with your Destroyer V,
worldmap_quest_title_141,Defend an attack with your Destroyer VI,
worldmap_quest_title_142,Upgrade Sieger to level 5,
worldmap_quest_title_143,Upgrade Sieger to level 10,
worldmap_quest_title_144,Upgrade Sieger to level 15,
worldmap_quest_title_145,Summon a Silver Tier Sieger,
worldmap_quest_title_146,Upgrade a Silver Tier Sieger to level 10,
worldmap_quest_title_147,Upgrade a Silver Tier Sieger to level 20,
worldmap_quest_title_148,Siege Enemy Castles I,
worldmap_quest_title_149,Siege Enemy Castles II,
worldmap_quest_title_150,Siege Enemy Castles III,
worldmap_quest_title_151,Siege Enemy Castles IV,
worldmap_quest_title_152,Siege Enemy Castles V,
worldmap_quest_title_153,Siege Enemy Castles VI,
worldmap_quest_title_154,Escape Enemy Taunts I,
worldmap_quest_title_155,Escape Enemy Taunts II,
worldmap_quest_title_156,Escape Enemy Taunts III,
worldmap_quest_title_157,Escape Enemy Taunts IV,
worldmap_quest_title_158,Escape Enemy Taunts V,
worldmap_quest_title_159,Escape Enemy Traps I,
worldmap_quest_title_160,Escape Enemy Traps II,
worldmap_quest_title_161,Escape Enemy Traps III,
worldmap_quest_title_162,Escape Enemy Traps IV,
worldmap_quest_title_163,Escape Enemy Traps V,
worldmap_quest_title_164,Destroy Siegers debuffing a Castle I,
worldmap_quest_title_165,Destroy Siegers debuffing a Castle II,
worldmap_quest_title_166,Destroy Siegers debuffing a Castle III,
worldmap_quest_title_167,Destroy Siegers debuffing a Castle IV,
worldmap_quest_title_168,Destroy Siegers debuffing a Castle V,
worldmap_quest_title_169,Hire Riders I,
worldmap_quest_title_170,Hire Riders II,
worldmap_quest_title_171,Hire Riders III,
worldmap_quest_title_172,Hire Riders IV,
worldmap_quest_title_173,Hire Riders V,
worldmap_quest_title_174,Upgrade 1 Rider to level 50,
worldmap_quest_title_175,Upgrade 2 Riders to level 50,
worldmap_quest_title_176,Upgrade 4 Riders to level 50,
worldmap_quest_title_177,Upgrade 8 Riders to level 50,
worldmap_quest_title_179,Complete a 3-Star Rider Mission,
worldmap_quest_title_180,Complete a 4-Star Rider Mission,
worldmap_quest_title_181,Complete a 5-Star Rider Mission,
worldmap_quest_title_182,Craft Epic Gear I,
worldmap_quest_title_183,Craft Epic Gear II,
worldmap_quest_title_184,Craft Epic Gear III,
worldmap_quest_title_185,Craft Epic Gear IV,
worldmap_quest_title_186,Craft Epic Gear V,
worldmap_quest_title_187,Craft Legendary Gear I,
worldmap_quest_title_188,Craft Legendary Gear II,
worldmap_quest_title_189,Craft Legendary Gear III,
worldmap_quest_title_190,Craft Legendary Gear IV,
worldmap_quest_title_191,Craft Legendary Gear V,
worldmap_quest_title_192,Craft Wind Gear I,
worldmap_quest_title_193,Craft Wind Gear II,
worldmap_quest_title_194,Craft Wind Gear III,
worldmap_quest_title_195,Craft Wind Gear IV,
worldmap_quest_title_196,Craft Wind Gear V,
worldmap_quest_title_197,Craft Fire Gear I,
worldmap_quest_title_198,Craft Fire Gear II,
worldmap_quest_title_199,Craft Fire Gear III,
worldmap_quest_title_200,Craft Fire Gear IV,
worldmap_quest_title_201,Craft Fire Gear V,
worldmap_quest_title_202,Craft Earth Gear I,
worldmap_quest_title_203,Craft Earth Gear II,
worldmap_quest_title_204,Craft Earth Gear III,
worldmap_quest_title_205,Craft Earth Gear IV,
worldmap_quest_title_206,Craft Earth Gear V,
worldmap_quest_title_207,Craft Ice Gear I,
worldmap_quest_title_208,Craft Ice Gear II,
worldmap_quest_title_209,Craft Ice Gear III,
worldmap_quest_title_210,Craft Ice Gear IV,
worldmap_quest_title_211,Craft Ice Gear V,
worldmap_quest_title_212,Craft Dark Gear I,
worldmap_quest_title_213,Craft Dark Gear II,
worldmap_quest_title_214,Craft Dark Gear III,
worldmap_quest_title_215,Craft Dark Gear IV,
worldmap_quest_title_216,Craft Dark Gear V,
worldmap_quest_title_217,Kill Castle Guards I,
worldmap_quest_title_218,Kill Castle Guards II,
worldmap_quest_title_219,Kill Castle Guards III,
worldmap_quest_title_220,Kill Castle Guards IV,
worldmap_quest_title_221,Kill Castle Guards V,
worldmap_quest_title_222,Kill Troops I,
worldmap_quest_title_223,Kill Troops II,
worldmap_quest_title_224,Kill Troops III,
worldmap_quest_title_225,Kill Troops IV,
worldmap_quest_title_226,Kill Troops V,
worldmap_quest_title_227,Kill Troops VI,
worldmap_quest_title_228,Kill Troops VII,
worldmap_quest_title_229,Kill Troops VIII,
worldmap_quest_title_230,Train Troops I,
worldmap_quest_title_231,Train Troops II,
worldmap_quest_title_232,Train Troops III,
worldmap_quest_title_233,Train Troops IV,
worldmap_quest_title_234,Train Troops V,
worldmap_quest_title_235,Train Troops VI,
worldmap_quest_title_236,Train Troops VII,
worldmap_quest_title_237,Train Troops VIII,
worldmap_quest_title_238,Revive Troops I,
worldmap_quest_title_239,Revive Troops II,
worldmap_quest_title_240,Revive Troops III,
worldmap_quest_title_241,Revive Troops IV,
worldmap_quest_title_242,Revive Troops V,
worldmap_quest_title_243,Revive Troops VI,
worldmap_quest_title_244,Revive Troops VII,
worldmap_quest_title_245,Revive Troops VIII,
worldmap_quest_title_39,Defeat a Beast,
worldmap_quest_title_w11,Defeat Beasts,
worldmap_quest_title_a18,Team Beasts,
worldmap_quest_title_246,Defeat Beasts I,
worldmap_quest_title_247,Defeat Beasts II,
worldmap_quest_title_248,Defeat Beasts III,
worldmap_quest_title_249,Defeat Beasts IV,
worldmap_quest_title_250,Defeat Beasts V,
worldmap_quest_title_251,Defeat Beasts VI,
worldmap_quest_title_252,Defeat Beasts VII,
worldmap_error_conquer_exceeds_ownable_limit_surrender,This team already is at their castle limit please surrender to another team.,
worldWonContinentSurrender,{ENEMY} has surrendered castle {NAME} to your team.,
spell_ResistAbility_physicalResist01_spellName,Physical Resist,
spell_ResistAbility_physicalResist01_spellDescription,Resists All Projectiles and Flak Towers,
spell_ResistAbility_elementalResist01_spellName,Elemental Resist,
spell_ResistAbility_elementalResist01_spellDescription,"Reduces damage taken from Flak, Lightning, and Storm Towers.",
spell_ResistAbility_flakResist01_spellName,Flak Resist,
spell_ResistAbility_flakResist01_spellDescription,Reduces damage taken from Flak Towers.,
spell_BloodEssenceSpell_spellName,Blood Essence,
spell_BloodEssenceSpell_spellDescription,Gain rage and Consume spell when dragon destroys a tower.,
spell_HeavenlyWindsSpell_spellName,Heavenly Winds,
spell_HeavenlyWindsSpell_spellDescription,Reflects incoming projectiles back onto the attackers,
spell_SummonEarthFamiliar_spellName,Earth Familiar,
spell_SummonEarthFamiliar_spellDescription,Summons a Dragon familiar,
spell_UmbralSpikeWhiteSpell_spellName,Umbral Spike,
spell_UmbralSpikeWhiteSpell_spellDescription,Damages small target area and restores health.,
spell_syphonStrikeSpell_spellName,Syphon Strike,
spell_syphonStrikeSpell_spellDescription,Heavily damages target tower and restores a large amount of HP.,
spell_echoingBlastSpell_spellName,Echoing Blast,
spell_echoingBlastSpell_spellDescription,Damages nearby towers and restores health. Provides brief invincibility.,
spell_shadowDispersalSpell_spellName,Shadow Dispersal,
spell_shadowDispersalSpell_spellDescription,Cloaks briefly. Damages buildings upon uncloaking.,
spell_FuryOfTheWastes_spellName,Fury of the Wastes,
spell_FuryOfTheWastes_spellDescription,Passive: Dragon restores health and increases damage over time.,
spell_RainbowShotSpell_spellName,Rainbow Shot,
spell_RainbowShotSpell_spellDescription,Freezes and damages buildings in the affected area.,
spell_ElementalBubble_spellName,Elemental Bubble,
spell_ElementalBubble_spellDescription,Absorbs all elemental damage and converts a portion of it into health.,
worldmap_ability_neutral,Activating ability is not allowed in the safe zone,
liveOpsSpecialOfferCTA,Special Offer!,
spell_etherealChainsSpell_spellName,Ethereal Chains,
spell_etherealChainsSpell_spellDescription,Disables towers in target area until they take damage.,
spell_heroicSacrificeSpell_spellName,Heroic Sacrifice,
spell_heroicSacrificeSpell_spellDescription,Dragon self-destructs and deals tremendous damage to every tower in the area.,
spell_cripplingChillSpell_spellName,Crippling Chill,
spell_cripplingChillSpell_spellDescription,Freezes and damages buildings in the target area.,
spell_energize_spellName,Energize,
spell_energize_spellDescription,Dragon takes damage and instantly gains rage.,
spell_SpectralForm_spellName,Spectral Form,
spell_SpectralForm_spellDescription,Dragon cloaks and rapidly generates rage and Hunter ammo. Can cast spells while cloaked.,
spell_MarkOfTwilightSpell_spellName,Mark of Twilight,
spell_MarkOfTwilightSpell_spellDescription,Blocks all damage and mage supershots. Apply rage marks to towers after shield expires.,
spell_DeathsDoorSpell_spellName,Death's Door,
spell_DeathsDoorSpell_spellDescription,Attacking towers causes them to take increased damage from all sources.,
spell_ArcaneAegisSpell_spellName,Arcane Aegis,
spell_ArcaneAegisSpell_spellDescription,Blocks all incoming damage and absorbs mage supershots to gain rage.,
spell_ResistAbility_windFlakResist01_spellName,Electro Flak Resist,
spell_ResistAbility_windFlakResist01_spellDescription,Provides resistance to Electro Flak Towers.,
spell_BloodLustSpell_spellName,Bloodlust,
spell_BloodLustSpell_spellDescription,Gains Rage. Gain health on building destruction.,
spell_DerisiveShriekSpell_spellName,Derisive Shriek,
spell_DerisiveShriekSpell_spellDescription,Deals damage to nearby towers and increases the damage they take.,
spell_HarrowingBoltSpell_spellName,Harrowing Bolt,
spell_HarrowingBoltSpell_spellDescription,Fires a projectile that destroys an automatically chosen tower. Restores health and rage.,
spell_enshroudSpell_spellName,Enshroud,
spell_enshroudSpell_spellDescription,Dragon becomes invisible and cannot be targeted until it attacks.,
spell_scarletFeverSpell_spellName,Scarlet Fever,
spell_scarletFeverSpell_spellDescription,Increases attack damage. Recast to damage and stun nearby towers.,
spell_inferno_spellName,Inferno,
spell_inferno_spellDescription,Massively increases flamethrower's damage for a short time.,
spell_SoulBarrageSpell_spellName,Soul Barrage,
spell_SoulBarrageSpell_spellDescription,Fires multiple projectiles at randomly chosen towers.,
spell_deathKnellSpell_spellName,Death Knell,
spell_deathKnellSpell_spellDescription,Deals area damage and gain brief invincibility. Fully restore health and rage.,
spell_ectoplasmicBreathSpell_spellName,Ectoplasmic Breath,
spell_ectoplasmicBreathSpell_spellDescription,Breath attack deals increased damage and causes towers to take damage over time.,
spell_mystifySpell_spellName,Mystify,
spell_mystifySpell_spellDescription,Blinds towers to dodge all non-beam attacks. Dragon moves slower.,
buildingDescription_earthFlakTower,Elemental Damage. Supershot creates invincible shield for other nearby tower and add health.,
spell_SnowBlindSpell_spellName,Snow Blind,
spell_HuntersMarkMarkSpell_spellName,Hunter's Mark,
spell_BurningHatredSpell_spellName,Burning Hatred,
spell_RagnarokSpell_spellName,Ragnarok,
spell_IncinerateSpell_spellName,Incinerate,
spell_SummonSpiritualGuardian_spellName,Spiritual Guardian,
spell_SpearSalvoSpell_spellName,Spear Salvo,
spell_PillagingFlamesSpell_spellName,Pillaging Flames,
spell_StaticBlastSpell_spellName,Static Blast,
spell_SnowBlindSpell_spellDescription,Dragon's fireball attack deals increased damage and freezes buildings.,
spell_HuntersMarkSpell_spellDescription,"Mark target tower. When marked tower is destroyed, gain health and rage. ",
spell_BurningHatredSpell_spellDescription,Instantly gain rage. Gain health on building destruction.,
spell_RagnarokSpell_spellDescription,Deals massive damage in a large area of effect.,
spell_IncinerateSpell_spellDescription,Fires a projectile that destroys an automatically chosen tower. Restores health on cast.,
spell_SummonSpiritualGuardian_spellDescription,Passively summon an ethereal dragon. Absorbs damage and increases rage generation.,
spell_SpearSalvoSpell_spellDescription,Fires multiple projectiles at randomly chosen towers.,
spell_PillagingFlamesSpell_spellDescription,Dragon's flamethrower attack causes towers to take increased damage from all sources.,
spell_StaticBlastSpell_spellDescription,Damages and disables towers in target area.,
spell_timeStopSpell_spellName,Time Stop,
spell_timeStopSpell_spellDescription,Instantly damages and freezes all towers in range.,
spell_solarVolleySpell_spellName,Solar Volley,
spell_moonShroudSpell_spellName,Moon Shroud,
spell_solarVolleySpell_spellDescription,Dragon's fireball attack consumes no Hunter ammo but deals less damage.,
spell_moonShroudSpell_spellDescription,Blocks all incoming elemental damage. Heals based on elemental damage received.,
spell_alterFateSpell_spellName,Alter Fate,
spell_alterFateSpell_spellDescription,Teleports the dragon forward and gains a shield. Reactivate to return to original location.,
differentBuildingOnSameIslandTitle,MAX REACHED,
differentBuildingOnSameIslandMessage,You can only have 1 %@ or 1 %@ on this island,
worldmap_beast_hunting_power_title,Beast Hunt Power Requirement,
worldmap_beast_hunting_power,Hunt power is calculated based on primarch type and troop amount,
worldmap_beast_hunting_power_low,"Your primarch's hunt power is too low to attack this beast. Level up your primarch, or load more troops on your primarch to increase its hunt power",
worldmap_beast_already_scrached,"You have already defeated a beast here. Get your teammates to help defeat the other beast members (like war, each team member can only scratch off one beast)!",
worldmap_atlas_elite_gold_desc,Gold Payout from mines & beasts!,
worldmap_atlas_elite_hat_regen_desc,Farmer Regeneration rate!,
worldmap_atlas_elite_hat_limit_desc,Farmer Max Capacity!,
worldmap_atlas_elite_materials_desc,Crafting Shard payout from beasts!,
worldmap_atlas_elite_train_time_desc,Train & Revival speed!,
spell_OnslaughtSpell_spellName,Onslaught,
spell_OnslaughtSpell_spellDescription,Toggle to reduce incoming damage and increase breath damage. Drains rage while active.,
spell_DebilitatingSludgeSpell_spellName,Debilitating Sludge,
spell_DebilitatingSludgeSpell_spellDescription,Damages and disables all towers within range. Disabled towers take additional damage.,
spell_MiasmicBreathSpell_spellName,Miasmic Breath,
spell_MiasmicBreathSpell_spellDescription,Increases breath damage and causes towers to take damage over time.,
spell_UnnervingShriekSpell_spellName,Unnerving Shriek,
spell_UnnervingShriekSpell_spellDescription,Damages nearby buildings and reduces their damage for the entire battle.,
spell_ColdSnapSpell_spellName,Coldsnap,
spell_ColdSnapSpell_spellDescription,Freezes and damages buildings in the target area.,
spell_DragonfireMissileSpell_spellName,Dragonfire Missile,
spell_DragonfireMissileSpell_spellDescription,Fires a projectile that destroys an automatically chosen tower. Restores rage on cast.,
spell_SummonPuppetSpell_spellName,Summon Puppet,
spell_SummonPuppetSpell_spellDescription,Summons a Dragon Puppet to fight for you.,
spell_SpiralingMadness_spellName,Spiraling Madness,
spell_SpiralingMadness_spellDescription,Passive: Dragon restores health over time.,
spell_RevitalizeSpell_spellName,Revitalize,
spell_RevitalizeSpell_spellDescription,Restores a large amount of health over time.,
spell_DarkRebirthSpell_spellName,Dark Rebirth,
spell_DarkRebirthSpell_spellDescription,"If dragon dies while this ability is active, damage nearby buildings and restore health instead.",
spell_CelestialShieldSpell_spellName,Celestial Shield,
spell_CelestialShieldSpell_spellDescription,Blocks all damage and mage supershots. Apply health marks to towers after shield expires.,
spell_DivineStormSpell_spellName,Divine Storm,
spell_DivineStormSpell_spellDescription,Summons a cloud of lightning bolts that repeatedly damage random towers.,
spell_FrostBreathSpell_spellName,Frost Breath,
spell_FrostBreathSpell_spellDescription,Dragon's flamethrower attack deals increased damage and freezes buildings.,
spell_ImmolatingBreathSpell_spellName,Immolating Breath,
spell_ImmolatingBreathSpell_spellDescription,Dragon's flamethrower attack deals increased damage.,
spell_LeechingBreathSpell_spellName,Leeching Breath,
spell_LeechingBreathSpell_spellDescription,Increases dragon's breath damage. Destroying towers restores health.,
spell_SkulkSpell_spellName,Skulk,
spell_SkulkSpell_spellDescription,Dragon becomes invisible and cannot be targeted until it attacks.,
spell_HysteriaSpell_spellName,Hysteria,
spell_HysteriaSpell_spellDescription,Dragon deals greatly increased damage with its breath attack.,
spell_AdaptiveBreathSpell_spellName,Adaptive Breath,
spell_AdaptiveBreathSpell_spellDescription,Activate to cycle between three breath modifiers.,
spell_CorruptionOfTheVoidSpell_spellName,Corruption of the Void,
spell_CorruptionOfTheVoidSpell_spellDescription,Cycle between an invisible spell and a damage boost.,
spell_ScavengeSpell_spellName,Scavenge,
spell_ScavengeSpell_spellDescription,Increases breath damage. Destroying towers grants health.,
iapstore_selectable_pack_popup_description,Choose an item from Select an item menu,
iapstore_selectable_pack_popup_common_items_label,Guaranteed item(s),
iapstore_selectable_pack_popup_select_items_label,Select an item,
dragon_seasonalBuffDescription,"+%@%% XP Gained Per Battle
-%@%% Reduction in Heal Time",
iapstore_csvtweak_string_1,GAMEPLAY,
iapstore_csvtweak_string_2,Squire Pack,
iapstore_csvtweak_string_3,Boost Your Dragons!,
iapstore_csvtweak_string_4,Deceiver Pack,
iapstore_csvtweak_string_5,Speedups & Potions!,
iapstore_csvtweak_string_6,Relentless Pack,
iapstore_csvtweak_string_7,Chests and Boosts!,
iapstore_csvtweak_string_8,Assassin Pack,
iapstore_csvtweak_string_9,Gold Chests & Inner Fire!,
iapstore_csvtweak_string_10,Sentinel Pack,
iapstore_csvtweak_string_11,Gold Chests and Boosts!,
iapstore_csvtweak_string_12,Destroyer Pack,
iapstore_csvtweak_string_13,Energy & Inner Fire!,
iapstore_csvtweak_string_14,Conquerer Pack,
iapstore_csvtweak_string_15,Full of Boosts & Inner Fire!,
iapstore_csvtweak_string_16,Ruler Pack,
iapstore_csvtweak_string_17,Full of Gold Chests & Boosts!,
iapstore_csvtweak_string_18,Bounty Pack,
iapstore_csvtweak_string_19,Full of XP Potions & Food!,
iapstore_csvtweak_string_20,Guardian Pack,
iapstore_csvtweak_string_21,Full of Boosts!,
iapstore_csvtweak_string_22,Squire Pack,
iapstore_csvtweak_string_23,Bronze Chests & Boosts!,
iapstore_csvtweak_string_24,Feeder Pack,
iapstore_csvtweak_string_25,XP Potions & Food!,
iapstore_csvtweak_string_26,Feast Pack,
iapstore_csvtweak_string_27,"XP Potions, Food, & Two Gold Chests!",
iapstore_csvtweak_string_28,Knight Pack,
iapstore_csvtweak_string_29,Food & Two Gold Chests!,
iapstore_csvtweak_string_30,Ruler Pack,
iapstore_csvtweak_string_31,Full of Chests & Tokens!,
iapstore_csvtweak_string_32,Harvest Pack,
iapstore_csvtweak_string_33,"More Rubies, XP Potions, Food & Gold Chests!",
iapstore_csvtweak_string_34,Nursery Pack,
iapstore_csvtweak_string_35,Breed Tokens & Food!,
iapstore_csvtweak_string_36,Apprentice Pack,
iapstore_csvtweak_string_37,Bronze Chests & Boosts!,
iapstore_csvtweak_string_38,Enlightened Pack,
iapstore_csvtweak_string_39,"Tokens, Food, & A Gold Chest!",
iapstore_csvtweak_string_40,Trickster Pack,
iapstore_csvtweak_string_41,Food & Speedups!,
iapstore_csvtweak_string_42,Lineage Pack,
iapstore_csvtweak_string_43,"Tokens, Gold Chests, & Food!",
iapstore_csvtweak_string_44,Treasure Pack,
iapstore_csvtweak_string_45,Full of Speedups!,
iapstore_csvtweak_string_46,Dragon Master Pack,
iapstore_csvtweak_string_47,"More Rubies, Tokens, Food & Gold Chests!",
iapstore_csvtweak_string_48,Kingdom Pack,
iapstore_csvtweak_string_49,Full of Chests & Speedups!,
iapstore_csvtweak_string_50,Construction Pack,
iapstore_csvtweak_string_51,Lumber & Speedups!,
iapstore_csvtweak_string_52,Support Pack,
iapstore_csvtweak_string_53,Boosts & Bronze Chests!,
iapstore_csvtweak_string_54,Reinforcements Pack,
iapstore_csvtweak_string_55,Lumber & Speedups!,
iapstore_csvtweak_string_56,Looter's Pack,
iapstore_csvtweak_string_57,Speedups & Chests!,
iapstore_csvtweak_string_58,Builder's Pack,
iapstore_csvtweak_string_59,Lumber & Speedups!,
iapstore_csvtweak_string_60,Fortress Pack,
iapstore_csvtweak_string_61,GOLD Chests & More!,
iapstore_csvtweak_string_62,Ruler's Pack,
iapstore_csvtweak_string_63,Lots of Lumber!,
iapstore_csvtweak_string_64,Architect's Pack,
iapstore_csvtweak_string_65,Lots of GOLD Chests!,
iapstore_csvtweak_string_66,Apprentice Pack,
iapstore_csvtweak_string_67,Blacksmith Pack,
iapstore_csvtweak_string_68,Forgemaster Pack,
iapstore_csvtweak_string_69,Elemental Crafting Pack 1,
iapstore_csvtweak_string_70,Elemental Crafting Pack 2,
iapstore_csvtweak_string_71,Choose your Crafting Shard,
rider_skill_reset_confirmation_popup_title,Rider Skill Reset Confirmation,
rider_skill_reset_confirmation_popup_body,Resetting your rider skills will remove all skills learned from the rider and will allow you to reinvest all previously used skill points. The riders level and glory earned will remain the same.,
rider_gear_lock_information,Earn crafting materials by participating in seasons or Atlas.,
spell_WellOfPowerSpell_spellName,Well of Power,
spell_WellOfPowerSpell_spellDescription,Increases attack and rage generation. Destroying towers restores health.,
spell_BreathOfTheDrownedSpell_spellName,Breath of the Drowned,
spell_BreathOfTheDrownedSpell_spellDescription,Dragon's breath attack deals increased damage and freezes buildings.,
spell_UndertowSpell_spellName,Undertow,
spell_UndertowSpell_spellDescription,Passive: Dragon's breath attack causes towers to take increased damage. Dragon has increased rage generation.,
spell_PurifyingAegisSpell_spellName,Purifying Aegis,
spell_PurifyingAegisSpell_spellDescription,Blocks a percentage of incoming damage and restores health.,
spell_ProtectiveTalismanSpell_spellName,Protective Talisman,
spell_ProtectiveTalismanSpell_spellDescription,Dragon becomes briefly immune to damage and rage drain super shots.,
spell_WayOfTheBladeSpell_spellName,Way of the Blade,
spell_WayOfTheBladeSpell_spellDescription,Cycle through three strikes of increasing size and damage.,
spell_FightingSpiritSpell_spellName,Fighting Spirit,
spell_FightingSpiritSpell_spellDescription,Consumes all Hunter ammo then heals based on Hunter ammo spent.,
spell_SliceSpell_spellName,Slice,
spell_SliceSpell_spellDescription,Deals moderate damage to a target tower.,
spell_ThrustSpell_spellName,Thrust,
spell_ThrustSpell_spellDescription,Deals moderate damage to all towers in a small area.,
spell_ExecuteSpell_spellName,Execute,
spell_ExecuteSpell_spellDescription,Deals massive damage to all towers in a large area.,
spell_AdaptiveImmunitySpell_spellName,Adaptive Immunity,
spell_AdaptiveImmunitySpell_spellDescription,Changes Resist type and gain small amount of rage on use.,
spell_TrickstersToolkitSpell_spellName,Trickster's Toolkit,
spell_TrickstersToolkitSpell_spellDescription,Dragon gains rage and a spell when it destroys a tower.,
spell_KitsuneMischiefSpell_spellName,Kitsune Mischief,
spell_KitsuneMischiefSpell_spellDescription,"Dragon cloaks briefly. Upon uncloaking, damages nearby towers and deals increased breath damage.",
spell_FoxfireBoltSpell_spellName,Foxfire Bolt,
spell_FoxfireBoltSpell_spellDescription,Heavily damages target tower and restores health on cast.,
spell_RisingTemperSpell_spellName,Rising Temper,
