identifier,activeAchievement,priority,narrativeActionType,narrativeItem,narrationIdentifier,delayTime,menuButton,tableName,tableItemIdentifier,arrowRotation,arrowScale,narrativeAction,tutorialMessage,shouldAlwaysScroll,additionalParameters,h
v3TutorialPve01ShowHint02_Hint,v3TutorialPve01ShowHint02,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.2,,Save up that rage for Sorcerer Dragons like Elixis,,time:100000|x:50|y:80,
v3TutorialPve01FinishedThirdIsland_disableSurrender,v3TutorialPve01FinishedThirdIsland,,DisableMenuButtonNarrativeAction,battleHud,,,surrenderButton,,,,,,,,,
v3TutorialPve01FinishedThirdIsland_disableSpell,v3TutorialPve01FinishedThirdIsland,,DisableMenuButtonTapNarrativeAction,battleHud,,,spellButton1,,,90,1,,Save your rage for Elixis!,,time:3,
v3TutorialPve01WithdrewDragon_disableSpell,v3TutorialPve01WithdrewDragon,,DisableMenuButtonTapNarrativeAction,battleHud,,,spellButton1,,,90,1,,Save your rage for Elixis!,,time:3,
v3TutorialPve01WithdrewDragonStep_pause,v3TutorialPve01WithdrewDragon,,PauseBattleNarrativeAction,battleHud,,,pauseLayer,,,,,,,,,
v3TutorialPve01WithdrewDragonStep_hint,v3TutorialPve01WithdrewDragon,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.25,,We need Elixis to destroy these all at once!,,time:100000|x:50|y:50,
v3TutorialPve01WithdrewDragonStep_arrow,v3TutorialPve01WithdrewDragon,,MenuArrowNarrativeAction,battleHud,,,surrenderMenuItemImage,,,90,1,,Get Elixis!,,,
v3TutorialPve01SelectDragon_arrow,v3TutorialPve01Finish,,MenuTableArrowNarrativeAction,attackPreviewHud,,,,dragon,redTutorialDragon,0,,,Select Dragon,,,
v3TutorialPve01SelectDragon_lock,level999,,DisableDragonsInAttackPreviewModeNarrativeAction,attackPreviewHud,stoneTutorialDragon,,,,,0,1,,Let's Start with Draco!,,time:3,
v3TutorialPve01SelectDragon_disableOtherDragons,v3TutorialPve01Finish,,MenuCustomNarrativeAction,attackPreviewHud,,,dragon:redTutorialDragon|showHealing:0,,,,,disableOtherDragons,,,,
v3TutorialPve01SelectDragon_disableOtherDragonsBeforePve02,v3TutorialPve01DisableOtherDragonsBeforePve02,,MenuCustomNarrativeAction,attackPreviewHud,,,dragon:T1C1WFdragon|showHealing:0,,,,,disableOtherDragons,,,,
v3TutorialPve01SelectDragon_arrow_beforePve02,v3TutorialPve01DisableOtherDragonsBeforePve02,,MenuTableArrowNarrativeAction,attackPreviewHud,,,,dragon,T1C1WFdragon,0,,,Select Dragon,,,
v3TutorialPve01ViewDracoInfo_arrow,v3TutorialPve01DracoTrained,,MenuArrowNarrativeAction,dragonSelectionInfoMenu,,,selectButton,,,0,1,,Attack!,,,
v3TutorialPve01RagePersists_Hint,v3TutorialPve01RagePersists,,ShowHintOnScreenNarrativeAction,attackPreviewHud,,,,,,0,1.25,,"Rage is shared between dragons!
(tap to continue)",,time:100000|x:35|y:50,
v3TutorialPve01DestroyedCastleStep_stop,v3TutorialPve01DestroyedCastle,,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
v3TutorialPve01DestroyedCastleStep_hint,v3TutorialPve01DestroyedCastle,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.2,,Don't forget to destroy the castle!,,time:100000|x:50|y:80,
v3TutorialPve01TrainDraco_disableExit,v3TutorialPve01TrainDraco,,DisableMenuButtonNarrativeAction,battleResults,,,closeButton,,,,,,,,,
v3TutorialPve01TrainDraco_HideExit,v3TutorialPve01TrainDraco,,HideMenuButtonNarrativeAction,battleResults,,,closeButton,,,,,,,,,
v3TutorialPve01TrainDraco_disableBookmark,v3TutorialPve01TrainDraco,,DisableMenuButtonNarrativeAction,battleResults,,,bookmarkButton,,,,,,,,,
v3TutorialPve01TrainDraco_disableLayerTaps,v3TutorialPve01TrainDraco,,DisableMenuButtonNarrativeAction,battleResults,,,targetedLayer,,,,,,,,,
v3TutorialPve01TrainDraco_UpgradeDragonHint,v3TutorialPve01TrainDraco,,ShowMenuButtonNarrativeAction,battleResults,,,narrativeHintNode,,,0,1.2,,Tap to train dragon,,showHint:1,
v3TutorialPve01TrainDraco_UpgradeDragonArrow,v3TutorialPve01TrainDraco,,MenuArrowNarrativeAction,battleResults,,,dragonHolderNarrativeNode,,,270,1,,,,showHint:1,
v3TutorialPve01TrainDraco_UpgradeDragonArrow2,v3TutorialPve01TrainDraco,,MenuArrowNarrativeAction,stableDragonUpgrade,,,trainButton,,,0,1,,Train Dragon,,,
v3TutorialPve01TrainDraco_worldArrow,v3TutorialPve01TrainDraco,2,BuildModeWorldObjectNarrativeAction,expansion_057-building,,,,,,,0.75,,Train Dragon,,,
v3TutorialPve01TrainDraco_stableHudArrow,v3TutorialPve01DracoTrained,,MenuArrowNarrativeAction,stableHud,,,upgradeButton,,,0,0.75,,Train Dragon,,,
v3TutorialPve01TrainDraco_buildingContextArrow,v3TutorialPve01DracoTrained,4,MenuArrowNarrativeAction,customBuildingContext,,,customButton,,,0,0.75,,Train Dragon,,,
v3TutorialPve01Finish_attackButtonArrow,v3TutorialPve01DracoTrained,1,MenuArrowNarrativeAction,hud,,,attackButton,,,270,0.75,,Attack Blackbloods,,,
v3TutorialPve01Finish_narration,v3TutorialPve01Finish,,NarrationNarrativeAction,,narrationV3Pve01,,,,,,,,,,,
v3TutAuxPve01Finish_disableSurrender,v3TutorialPve01DracoTrained,1,DisableMenuButtonNarrativeAction,battleHud,,,surrenderButton,,,,,,,,,
v3ShowExplosiveShieldVideoPrompt_1,v3TutorialPve01HintSecondIsland2,,PauseBattleNarrativeAction,battleHud,,,pauseLayer,,,,,,,,,
v3ShowExplosiveShieldVideoPrompt_2,v3TutorialPve01HintSecondIsland2,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.5,,"Learn how to use spells!
(tap to continue)",,time:100000|x:50|y:50,
v3ShowExplosiveShieldVideoTut,v3TutorialPve01VideoTutSecondIsland,,ShowVideoTutorialNarrativeAction,,,,,,,,,,,,identifier:chargedShieldSpell|closeDelay:5|spellType:blue,
v3TutorialPve01SecondIslandDisableRage,v3TutorialPve01DisableSpellSecondIsland,,DisableMenuButtonNarrativeAction,battleHud,,,spellButton1,,,,,,,,,
v3TutAuxPve01testSpellButtonHighlight,v3TutorialPve01PromptSpellSecondIsland,,MenuCustomNarrativeAction,battleHud,,,spellButton1,,,,,narrativeSpriteHighlight,,,,
v3TutAuxPve01SpellSecondIsland_spellArrow2,v3TutorialPve01PromptSpellSecondIsland,,MenuArrowNarrativeAction,battleHud,,,spellButton1,,,90,1.25,,Explosive Shield spell! Protect your Dragon!,,showHint:1,
v3TutAuxPve01NerfBuilding_Nerf,v3TutAuxPve01NerfBuilding,,MakeDragonInvincibleNarrativeAction,,,,,,,,,,,,,
v3TutAuxPve01SwapDragon_swapDragon,v3TutorialPve01SwapDragon,,ChangeDragonParamsNarrativeAction,,T1C1WFdragon,,,,,,,,,,dragonType:redTutorialDragon|dragonLevel:1,
v3TutAuxPve01SwapDragon_swapDragon2,v3TutorialPve01SwapDragon,,ChangeDragonParamsNarrativeAction,,T1C1HIdragon,,,,,,,,,,dragonType:stoneTutorialDragon|dragonLevel:1,
v3TutAuxPve01SelectDragon_disableQuit,v3TutorialPve01SelectDragon,1,DisableMenuButtonNarrativeAction,attackPreviewHud,,,cancelButton,,,,,,,,,
v3TutorialPve01Post_narration,v3TutorialPve02Finish,,NarrationNarrativeAction,,narrationV3Pve01Finish,,,,,,,,,,,
v3TutAuxDisableAttack_disableAttack,v3TutAuxPve02DisableAttack,,DisableMenuButtonNarrativeAction,hud,,,attackButton,,,,,,"Not Ready to Attack|You're not strong enough yet, train your dragon!",,,
v3TutAuxDisableAttack_disablePulse,v3TutAuxPve02DisableAttack,,MenuCustomNarrativeAction,hud,,,attackButton,,,,,disableAttackButtonAnimation,,,,
v3TutAuxPve02SwapDragon_swapDragon,v3TutAuxPve02SwapDragon,,ChangeDragonParamsNarrativeAction,,T1C1HIdragon,,,,,,,,,,dragonType:stoneTutorialDragon|dragonLevel:1,
v3TutorialPve02DisableWorldTouches,v3TutorialPve01Finish,,DisableWorldTouchesNarrativeAction,,,,,,,,,,,,,
v3TutAuxPve02SelectDragon_cancelButtonDisable,v3TutAuxPve02SelectDragon,1,DisableMenuButtonNarrativeAction,attackPreviewHud,,,cancelButton,,,,,,,,,
v3TutAuxPve02SelectDragon_selectDragon,v3TutorialPve02Finish,,MenuTableArrowNarrativeAction,attackPreviewHud,,,,dragon,stoneTutorialDragon,0,,,Select Dragon,,,
v3TutAuxPve02SelectDragon_disableOtherDragons,v3TutorialPve02Finish,,MenuCustomNarrativeAction,attackPreviewHud,,,dragon:stoneTutorialDragon|showHealing:1,,,,,disableOtherDragons,,,,
v3TutorialPve02ViewFriggInfo_arrow,v3TutorialPve02Finish,,MenuArrowNarrativeAction,dragonSelectionInfoMenu,,,selectButton,,,0,1,,Attack!,,,
v3ShowHunterAttackVideoPrompt_1,v3TutorialPve02HintFirstIsland2,,PauseBattleNarrativeAction,battleHud,,,pauseLayer,,,,,,,,,
v3ShowHunterAttackVideoPrompt_2,v3TutorialPve02HintFirstIsland2,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.5,,"Learn how to attack with hunter dragons!
(tap to continue)",,time:100000|x:50|y:50,
v3ShowHunterAttackVideoTut,v3TutorialPve02VideoTutFirstIsland,,ShowVideoTutorialNarrativeAction,,,,,,,,,,,,identifier:dragonAttackFireball|closeDelay:5|spellType:passive,
v3TutAuxPve02DestroyedFirstIsland_pulse,v3TutAuxPve02PulseFirstIsland,,ShowPulseNarrativeAction,expansion_038-building,,,,,,,,,,,,
v3TutAuxPve02DestroyedFirstIsland_pulse2,v3TutAuxPve02PulseFirstIsland,,ShowPulseNarrativeAction,expansion_040-building,,,,,,,,,,,,
v3TutAuxPve02DestroyedFirstIsland_pulse3,v3TutAuxPve02PulseFirstIsland,,ShowPulseNarrativeAction,expansion_037-building,,,,,,,,,,,,
v3TutAuxPve02PausedFirstIsland_pause,v3TutAuxPve02PausedFirstIsland,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
v3TutAuxPve02SpellSecondIsland_pause,v3TutorialPve02HintSecondIsland2,,PauseBattleNarrativeAction,battleHud,,,pauseLayer,,,,,,,,,
v3TutAuxPve02SpellSecondIsland_hint1,v3TutorialPve02HintSecondIsland2,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.5,,"Rage is used to cast spells!
It will build over time! (tap to continue)",,time:100000|x:40|y:70,
v3TutAuxPve02SpellSecondIsland_hint2,level999,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.5,,"It will build over time!!
(tap to continue) (Better wording)",,time:100000|x:35|y:50,
v3TutAuxPve02SpellSecondIsland_disable,v3TutAuxPve02SpellDisabledSecondIsland,,DisableMenuButtonNarrativeAction,battleHud,,,spellButton1,,,,,,,,,
v3TutAuxPve02ShowChainLightningVideoTut_pause,v3TutorialPve02VideoTutHintSecondIsland,,PauseBattleNarrativeAction,battleHud,,,pauseLayer,,,,,,,,,
v3TutAuxPve02ShowChainLightningVideoTut_hint,v3TutorialPve02VideoTutHintSecondIsland,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.5,,"Learn how to use chain lightning spell!
(tap to continue)",,time:100000|x:50|y:50,
v3TutAuxPve02ShowChainLightningVideoTut_pause2,v3TutorialPve02VideoTutSecondIsland,,PauseBattleNarrativeAction,battleHud,,,pauseLayer,,,,,,,,,
v3TutAuxPve02ShowChainLightningVideoTut,v3TutorialPve02VideoTutSecondIsland,,ShowVideoTutorialNarrativeAction,,,,,,,,,,,,identifier:chainLightningSpell|closeDelay:5|spellType:red,
v3TutAuxPve02spellUsageTestArrow,level999,,MenuArrowNarrativeAction,battleHud,,,spellButton1,,,270,0.7,,Use Spell,,,
v3TutAuxPve02testSpellButtonHighlight,v3TutAuxPve02SpellSecondIsland,,MenuCustomNarrativeAction,battleHud,,,spellButton1,,,,,narrativeSpriteHighlight,,,,
v3TutAuxPve02SpellSecondIsland_spellArrow2,v3TutAuxPve02SpellSecondIsland,,MenuArrowNarrativeAction,battleHud,,,spellButton1,,,90,1.25,,Use Chain Lightning spell!,,showHint:1,
v3TutAuxPve02DestroyedSecondIsland_pulse1,v3TutAuxPve02PulseSecondIsland,,ShowPulseNarrativeAction,expansion_031-building,,,,,,,,,,,,
v3TutAuxPve02DestroyedSecondIsland_pulse2,v3TutAuxPve02PulseSecondIsland,,ShowPulseNarrativeAction,expansion_032-building,,,,,,,,,,,,
v3TutAuxPve02DestroyedSecondIsland_pulse3,v3TutAuxPve02PulseSecondIsland,,ShowPulseNarrativeAction,expansion_033-building,,,,,,,,,,,,
v3TutAuxPve02PausedSecondIsland_pause,v3TutAuxPve02PausedSecondIsland,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
v3TutAuxPve02PausedThirdIsland_pause,v3TutAuxPve02PausedThirdIsland,,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
v3TutAuxPve02PausedFifthIsland_pause,v3TutAuxPve02PausedFifthIsland,,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
v3TutorialPve02TrainDraco_disableExit,level999,,DisableMenuButtonNarrativeAction,battleResults,,,closeButton,,,,,,,,,
v3TutorialPve02TrainDraco_disableBookmark,level999,,DisableMenuButtonNarrativeAction,battleResults,,,bookmarkButton,,,,,,,,,
v3TutorialPve02TrainDraco_disableLayerTaps,level999,,DisableMenuButtonNarrativeAction,battleResults,,,targetedLayer,,,,,,,,,
v3TutorialPve02TrainDraco_UpgradeDragonArrow,level999,,ShowMenuButtonNarrativeAction,battleResults,,,narrativeHintNode,,,0,1.2,,Tap to train dragon,,showHint:1,
v3TutorialPve02TrainDraco_worldArrow,level999,,BuildModeWorldObjectNarrativeAction,expansion_057-building,,,,,,,0.75,,Train Dragon,,,
v3TutAuxPve02Finish_disableSurrender,v3TutorialPve02Finish,1,DisableMenuButtonNarrativeAction,battleHud,,,surrenderButton,,,,,,,,,
v3TutorialPve02Finish_attackButtonArrow,v3TutorialPve02Finish,,MenuArrowNarrativeAction,hud,,,attackButton,,,270,0.75,,Attack Blackbloods,,,
v3TutAuxPve02NerfBuilding_Nerf,v3TutAuxPve02NerfBuilding,,MakeDragonInvincibleNarrativeAction,,,,,,,,,,,,,
v3TutorialNarrationPreEnterUsername_narration,v3TutorialNarrationEnterUsername,,NarrationNarrativeAction,,narrationV3EnterUsername,1,,,,,,,,,,
v3TutorialUsername_popup,v3TutorialUsername,,ShowCreateUsernameNarrativeAction,,,,,,,,,,,,,
v3TutorialNarrationPostEnterUsername_narration,v3TutorialPostUsernameDialog,,NarrationNarrativeAction,,narrationV3PostEnterUsername,1,,,,,,,,,,
v3TutorialPlaceHogFarm1_narration,v3TutorialPlaceHogFarm1,,NarrationNarrativeAction,,narrationV3SheepFarm,,,,,,,,,,,
v3TutorialPlaceHogFarm1_worldArrow,v3TutorialPlaceHogFarm1,2,BuildModeWorldObjectNarrativeAction,expansion_001,,,,,,,,,Build Sheep Farm,1,,
v3TutorialPlaceHogFarm1_storeArrow,v3TutorialPlaceHogFarm1,3,MenuTableArrowNarrativeAction,generalStore,,,,StoreTabResources,hogFarm,0,,,Build Sheep Farm,,,
v3TutorialPlaceHogFarm1_disableNo,v3TutorialPlaceHogFarm1,4,DisableMenuButtonNarrativeAction,moveOverlay,,,noButton,,,,,,,,,
v3TutorialPlaceHogFarm1_yesArrow,v3TutorialPlaceHogFarm1,4,MenuArrowNarrativeAction,moveOverlay,,,yesButton,,,,1.5,,,,,
v3TutorialWaitingToCompleteHogFarm1_expediteArrow,v3TutorialWaitingToCompleteHogFarm1,2,BuildModeWorldObjectNarrativeAction,expansion_001-building,,,,,,,,,Speed Up,1,cameraHeight:350,
v3TutorialWaitingToCompleteHogFarm1_timerExpedite,v3TutorialWaitingToCompleteHogFarm1,5,TimerOverlayNarrativeAction,hogFarm_timer,,,,,,,1,,Speed Up,,cameraHeight:350,
v3TutorialCollectHogFarm_narration,v3TutorialCollectHogFarm,1,NarrationNarrativeAction,,narrationV3CollectFood,,,,,,,,,,,
v3TutorialCollectHogFarm_worldArrow,v3TutorialCollectHogFarm,2,BuildModeWorldObjectNarrativeAction,expansion_001-building,,,,,,,,,Collect Food,1,,
v3TutorialCollectHogFarm_fillHog,v3TutorialCollectHogFarm,,MakeHarvestBuildingCollectibleNarrativeAction,expansion_001-building,,,,,,,,,,,,
v3TutorialEnterBreeder_narration,v3TutorialEnterBreeder1,,NarrationNarrativeAction,,narrationV3EnterBreeder,,,,,,,,,,,
v3TutorialEnterBreeder_arrowOnBlimp,v3TutorialEnterBreeder1,,BuildModeWorldObjectNarrativeAction,breeder-breederMaster,,,,,,,,,Egg Token Mission,1,,
v3TutorialEnterBreeder_attackButtonArrow,v3TutorialPve03AttackArrowDelay2,,MenuArrowNarrativeAction,questMenu,,,breederBlimpMenu|btnAttack,,,0,0.75,,Attack Blackbloods,,,
v3TutorialHogFarmEggMission_disableAttack,v3TutorialHogFarmEggMissionDisableAttack,,DisableMenuButtonNarrativeAction,hud,,,attackButton,,,,,,Not Ready to Attack|Dragons are healing!,,,
v3TutorialHogFarmEggMission_disablePulse,v3TutorialHogFarmEggMissionDisableAttack,,MenuCustomNarrativeAction,hud,,,attackButton,,,,,disableAttackButtonAnimation,,,,
v3TutorialHogFarmEggMission_disableBreederAttack,v3TutorialHogFarmEggMissionDisableAttack,,DisableMenuButtonNarrativeAction,questMenu,,,breederBlimpMenu|btnAttack,,,,,,Not Ready to Attack|Dragons are healing!,,,
v3TutorialPve03PausedFirstIsland_pause,level999,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
v3TutAuxPve03SwapSecondIsland_pause,v3TutorialPve03HintSecondIsland,,PauseBattleNarrativeAction,battleHud,,,pauseLayer,,,,,,,,,
v3TutAuxPve03SwapSecondIsland_hint,v3TutorialPve03HintSecondIsland,,ShowHintOnScreenNarrativeAction,battleHud,,,,,,0,1.5,,You can swap dragons at any time. (tap to continue),,time:100000|x:70|y:50,
v3TutorialPve03PausedSecondIsland_pause,level999,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
v3TutorialPve03PausedThirdIsland_pause,level999,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
v3TutorialPve03PausedFourthIsland_pause,level999,1,MakeDragonStopNarrativeAction,,,,,,,,,,,,,
v3TutorialPve03Finish_attackButtonArrow,v3TutorialPve03Finish,,MenuArrowNarrativeAction,hud,,,attackButton,,,270,0.75,,Attack Blackbloods,,,
v3TutAuxPve03SwapDragon_swapDragon,v3TutorialPve03SwapDragon,,ChangeDragonParamsNarrativeAction,,T1C1WFdragon,,,,,,,,,,dragonType:redTutorialDragon|dragonLevel:2,
v3TutAuxPve03SwapDragon_swapDragon02,v3TutorialPve03SwapDragon,,ChangeDragonParamsNarrativeAction,,T1C1HIdragon,,,,,,,,,,dragonType:stoneTutorialDragon|dragonLevel:1,
v3TutAuxPve03NerfBuilding_redTutorialDragon,v3TutAuxPve03NerfBuildingRed,,MakeDragonInvincibleNarrativeAction,,,,,,,,,,,,,
v3TutAuxPve03NerfBuilding_stoneTutorialDragon,v3TutAuxPve03NerfBuildingStone,,MakeDragonInvincibleNarrativeAction,,,,,,,,,,,,,
v3TutAuxPve03RedSecondRound_disableSurrender,v3TutAuxPve03SecondRoundDisableSwapRed,1,DisableMenuButtonNarrativeAction,battleHud,,,surrenderButton,,,,,,,,,
v3TutAuxPve03StoneSecondRound_disableSurrender,v3TutAuxPve03SecondRoundDisableSwapStone,1,DisableMenuButtonNarrativeAction,battleHud,,,surrenderButton,,,,,,,,,
v3TutAuxPve03SelectDragon_disableQuit,v3TutorialPve03Finish,1,DisableMenuButtonNarrativeAction,attackPreviewHud,,,cancelButton,,,,,,,,,
v3TutorialPostPve03_narration,v3TutorialPostPve03Dialogue,,NarrationNarrativeAction,,narrationV3PostPve03,,,,,,,,,,,
v3TutorialArcherTowerDefensiveBattle_disableAttack,v3TutorialPVPDisable,,DisableMenuButtonNarrativeAction,hud,,,attackButton,,,,,,Not Ready to Attack|Dragons are healing!,,,
v3TutorialArcherTowerDefensiveBattle_disablePulse,v3TutorialPVPDisable,,MenuCustomNarrativeAction,hud,,,attackButton,,,,,disableAttackButtonAnimation,,,,
v3TutorialArcherTowerDefensiveBattle_disableBreederAttack,v3TutorialPVPDisable,,DisableMenuButtonNarrativeAction,questMenu,,,breederBlimpMenu|btnAttack,,,,,,Not Ready to Attack|Dragons are healing!,,,
v3TutorialCollectEggTokens_worldArrow,v3TutorialCollectEggTokens,,TimerOverlayNarrativeAction,BLIMP_collection,,,,,,270,1,,Collect Egg Tokens,,cameraHeight:350,
v3TutorialCollectEggTokens_disableWorldTouches,v3TutorialCollectEggTokens,,DisableWorldTouchesNarrativeAction,BLIMP_collection,,,,,,,,,,,,
v3TutorialCrossBreeding1_narration,v3TutorialCrossBreedingFinish,,NarrationNarrativeAction,,narrationV3CrossBreeding,1,,,,,,,,,,
v3TutorialCrossBreeding1_worldArrow,v3TutorialCrossBreedingFinish,1,BuildModeWorldObjectNarrativeAction,expansion_058-building,,,,,,,,,Breed a Dragon,1,cameraHeight:300,
v3TutorialCrossBreeding1_contextMenuArrow,v3TutorialCrossBreedingFinish,2,MenuArrowNarrativeAction,customBuildingContext,,,customButton,,,,,,Breed a Dragon,,,
v3TutorialCrossBreeding1_dragonArrow,v3TutorialCrossBreedingFinish,3,MenuTableArrowNarrativeAction,dragonDiscoveryTableSubView,,,,dragonDiscoveryTable,T1C2HEdragon,90,0.75,,Breed Dragon,,,
v3TutorialCrossBreeding1_goToCrossbreedingArrow,v3TutorialCrossBreedingFinish,4,MenuArrowNarrativeAction,dragonDiscoveryInfoPopup,,,crossbreedButton,,,90,0.75,,Go!,,,
v3TutorialCrossBreeding1_breedArrow,v3TutorialCrossBreedingFinish,5,MenuArrowNarrativeAction,breedingGround-crossbreeding,,,breedEggMenuItem,,,90,0.75,,Breed Egg,,,
v3TutorialCrossBreeding1_disableScroll,v3TutorialCrossBreedingFinish,,DisableMenuTableNarrativeAction,dragonDiscoveryTableSubView,,0,,dragonDiscoveryTable,,,,,,,,
v3TutorialCrossBreeding1_disableGemEggs,v3TutorialCrossBreedingFinish,,DisableMenuButtonNarrativeAction,breedingGround-crossbreeding,,,breedEggPremiumMenuItem,,,,,,,,,
v3TutorialCrossBreeding1_disableDiscoveryTab,v3TutorialCrossBreedingFinish,,DisableMenuButtonNarrativeAction,breedingGround-crossbreeding,,,tab1,,,,,,,,,
v3TutorialCrossBreeding1_disableDivineTab,v3TutorialCrossBreedingFinish,,DisableMenuButtonNarrativeAction,breedingGround-crossbreeding,,,tab3,,,,,,,,,
v3TutorialCrossBreeding1_disableDragon0,v3TutorialCrossBreedingFinish,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,,,dragonDiscoveryTable,0,,,,,,,
v3TutorialCrossBreeding1_disableDragon1,v3TutorialCrossBreedingFinish,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,,,dragonDiscoveryTable,1,,,,,,,
v3TutorialCrossBreeding1_disableDragon3,v3TutorialCrossBreedingFinish,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,,,dragonDiscoveryTable,3,,,,,,,
v3TutorialCrossBreeding1_disableDragon4,v3TutorialCrossBreedingFinish,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,,,dragonDiscoveryTable,4,,,,,,,
v3TutorialCrossBreeding1_disableDragon5,v3TutorialCrossBreedingFinish,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,,,dragonDiscoveryTable,5,,,,,,,
v3TutorialCrossBreeding1_disableDragon6,v3TutorialCrossBreedingFinish,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,,,dragonDiscoveryTable,6,,,,,,,
v3TutorialCrossBreeding1_disableDragon7,v3TutorialCrossBreedingFinish,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,0,,dragonDiscoveryTable,7,,,,,,,
v3TutorialCrossBreeding1_disableDragon8,v3TutorialCrossBreedingFinish,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,0,,dragonDiscoveryTable,8,,,,,,,
v3TutorialCrossBreeding1_disableDragon9,v3TutorialCrossBreedingFinish,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,0,,dragonDiscoveryTable,9,,,,,,,
v3TutorialCrossBreeding1_disableDragon10,v3TutorialCrossBreedingFinish,,MenuTableCellDisableButtonNarrativeAction,dragonDiscoveryTableSubView,,0,,dragonDiscoveryTable,10,,,,,,,
v3TutorialIncubateDragon_disableBreederBlimp,v3TutorialIncubatingStart,,HideTimerOverlayNarrativeAction,timerOverlay,,1,,,,,,,,,buildingIdentifier:breedingGround,
v3TutorialIncubateDragon_narration,v3TutorialIncubatingStart,,NarrationNarrativeAction,,narrationV3IncubateDragon,1,,,,,,,,,,
v3TutorialGotoIncubator_disableXButton,v3TutorialIncubatingStart,,HideMenuButtonNarrativeAction,breedingGroundNewEggPopup,,,closeButton,,,,,,,,,
v3TutorialGotoIncubator_gotoIncubator,v3TutorialIncubatingStart,,MenuArrowNarrativeAction,breedingGroundNewEggPopup,,,eggCompleteButtonDescription,,,90,0.75,,Incubate Egg,,,
v3TutorialIncubateDragon_worldArrow,v3TutorialIncubatingStart,2,BuildModeWorldObjectNarrativeAction,expansion_061-building,,,,,,,,,Incubate Egg,1,,
v3TutorialIncubateDragon_contextArrow,v3TutorialIncubatingStart,3,BuildingContextMenuArrowNarrativeAction,customBuildingContext,,,customButton,,,,,,Incubate Egg,,buildingIdentifier:incubator,
v3TutorialIncubateDragonSpeedUp_worldArrowSpeedUp,v3TutorialIncubatingReadyToComplete,,TimerOverlayNarrativeAction,incubator_timer,,,,,,270,1,,Speed Up,,cameraHeight:350,
v3TutorialIncubateDragonSpeedUp_disableExpediteButton,v3TutorialIncubatingReadyToComplete,,DisableMenuButtonNarrativeAction,consumableExpeditePopup,,,expediteButton,,,,,,,,,
v3TutorialIncubateDragonSpeedUp_applyMultipleArrow,v3TutorialIncubatingReadyToComplete,,MenuArrowNarrativeAction,consumableExpeditePopup,,,applyMultipleButton,,,180,0.75,,Use Boost,,,
v3TutorialIncubateDragonSpeedUp_useMultipleArrow,v3TutorialIncubatingReadyToComplete,,MenuArrowNarrativeAction,useMultipleConsumablePopupMenu,,,confirmButton,,,90,0.75,,Use Boost,,,
v3TutorialIncubateDragonSpeedUp_worldArrowFinish,v3TutorialIncubatingFinish,,TimerOverlayNarrativeAction,incubator_timer,,,,,,270,1,,Finish,,cameraHeight:350,
v3TutorialBuildArcher_narration,v3TutorialArcherTowerStart,,NarrationNarrativeAction,,narrationV3BuildArcher,,,,,,,,,,,
v3TutorialBuildArcher_worldArrow,v3TutorialArcherTowerStart,2,BuildModeWorldObjectNarrativeAction,expansion_002,,,,,,,,,Build Archer,1,,
v3TutorialBuildArcher_storeArrow,v3TutorialArcherTowerStart,3,MenuTableArrowNarrativeAction,generalStore,,,,StoreTabTower,archerTower,0,,,Build Archer,,,
v3TutorialBuildArcher_disableNo,v3TutorialArcherTowerStart,4,DisableMenuButtonNarrativeAction,moveOverlay,,,noButton,,,,,,,,,
v3TutorialBuildArcher_yesArrow,v3TutorialArcherTowerStart,4,MenuArrowNarrativeAction,moveOverlay,,,yesButton,,,,,,,,,
