identifier,inBundle,spellNameIdentifier,spellDescriptionIdentifier,icon,spellTypes,isUsedForAmmoBuff,activeAbilityBattleText,projectileIdentifier,videoTutorial,uncommonAttributes,spellCategories,spellSoundEffects,vfxsOnBuilding,vfxsOnDragon,h
explosiveAegis,0,spell_ExplosiveAegis_spellName,spell_ExplosiveAegis_spellDescription,icon_explosiveAegis.png,white,0,explosiveAegisSpellText,,explosiveAegisSpell,empoweredIcon:icon_explosiveAegisPowered.png,,spellStartSoundIdentifier:explosiveaegis_cast|spellEndSoundIdentifier:explosiveaegis_explode,explosiveAegisBuidingSceneFile:explosive_aegis_building_debuff.lvl,explosiveAegisShieldFile:explosive_aegis_shield.lvl|explosiveAegisShieldDeathFile:explosive_aegis_death.lvl,
syphonStrike,0,spell_syphonStrikeSpell_spellName,spell_syphonStrikeSpell_spellDescription,icon_syphonStrike_01.png,white|white,0,syphonStrikeSpellText,syphonStrike,syphonStrikeSpell,empoweredIcon:icon_syphonStrike_01.png|empoweredActiveAbilityBattleText:syphonStrikeSpellText,freeTarget,spellStartSoundIdentifier:syphon_strike_cast|spellReleaseSoundIdentifier:syphon_strike_trigger,,umbralSpikePrepareParticle:syphonStrike_grow|applyDragonParticle:ptl_heal_dragonSpell_02,
echoingBlast,0,spell_echoingBlastSpell_spellName,spell_echoingBlastSpell_spellDescription,icon_echoingBlast.png,red,0,echoingBlastSpellText,,echoingBlastSpell,,,spellStartSoundIdentifier:echoing_blast_cast,,novaBlastScene:spl_echoingBlast_blast.lvl|novaHPWispsParticle:ptl_drg_echoingBlast_wisp,
shadowDispersal,0,spell_shadowDispersalSpell_spellName,spell_shadowDispersalSpell_spellDescription,icon_shadowDispersal_01.png,red,0,shadowDispersalSpellText,,shadowDispersalSpell,,,spellStartSoundIdentifier:shadow_dispersal_cast,,dissipateCloudyMistScene:ptl_shadowDispersal_mist.lvl|dissipateExplodeScene:ptl_drg_shadowDispersal_burst.lvl|dissipateEndScene:ptl_drg_shadowDispersal_end.lvl,
furyOfTheWastes,0,spell_FuryOfTheWastes_spellName,spell_FuryOfTheWastes_spellDescription,icon_furyOfTheWastes.png,passive,0,furyOfTheWastesSpellText,,furyOfTheWastesSpell,,,,,furyOfTheWastesParticle:fury_of_the_wastes_particle,
rainbowShot,0,spell_RainbowShotSpell_spellName,spell_RainbowShotSpell_spellDescription,icon_rainbowShot.png,white,0,rainbowShotSpellText,rainbowShot,rainbowShotSpell,,circleAOE|freeTarget,spellStartSoundIdentifier:rainbow_shot_cast|spellReleaseSoundIdentifier:rainbow_shot_trigger,onBuildingScene:ptl_rainbowShot_spell_impact_01.lvl|freezeProjectileParticle:rainbowShot_projectile_effect,freezePrepareParticle:rainbowShot_buildup,
elementalBubble,0,spell_ElementalBubble_spellName,spell_ElementalBubble_spellDescription,icon_elementalBubble.png,white,0,elementalBubbleSpellText,,elementalBubbleSpell,,,spellStartSoundIdentifier:elemental_bubble_cast,,elementalBarrierShieldScene:elemental_bubble_shield.lvl|elementalBarrierSupershotDeathScene:elemental_bubble_supershot_death.lvl|applyDragonParticle:ptl_heal_dragonSpell_02,
etherealChains,0,spell_etherealChainsSpell_spellName,spell_etherealChainsSpell_spellDescription,icon_etherealChains.png,red,0,etherealChainsSpellText,etherealChains,etherealChainsSpell,,freeTarget,spellStartSoundIdentifier:ethereal_chains_prepare|spellReleaseSoundIdentifier:ethereal_chains_fire,desiccatingSandBuildingScene:bld_etherealChains.lvl,desiccatingSandPrepareParticle:ptl_drg_ethereal_Chains_charge,
heroicSacrifice,0,spell_heroicSacrificeSpell_spellName,spell_heroicSacrificeSpell_spellDescription,icon_heroicSacrifice.png,white,0,heroicSacrificeSpellText,,heroicSacrificeSpell,,circleAOE|freeTarget,,,selfDestructTendrils:ptl_selfDestructTendrils.lvl,
cripplingChill,0,spell_cripplingChillSpell_spellName,spell_cripplingChillSpell_spellDescription,icon_cripplingChill.png,white,0,cripplingChillSpellText,cripplingChill,cripplingChillSpell,,circleAOE|freeTarget,spellStartSoundIdentifier:crippling_chill_prepare|spellReleaseSoundIdentifier:crippling_chill_fire,onBuildingScene:ptl_cripplingChill_spell_impact.lvl|freezeProjectileParticle:cripplingChill_effect,freezePrepareParticle:cripplingChill_buildup,
energize,0,spell_energize_spellName,spell_energize_spellDescription,icon_energize.png,blue,0,energizeSpellText,,energizeSpell,,,spellStartSoundIdentifier:energize_cast,,sacrificeParticle:ptl_dragon_energize,
spectralForm,0,spell_SpectralForm_spellName,spell_SpectralForm_spellDescription,icon_spectralForm.png,white,0,spectralFormSpellText,,spectralFormSpell,,,spellStartSoundIdentifier:spectral_form_cast,,cloakSpellScene:spl_spectralForm.lvl|cloakProjectile:prj_drg_spectralForm,
spectralForm_warrior,0,spell_SpectralForm_spellName,spell_SpectralForm_spellDescription,icon_spectralForm.png,blue,0,spectralFormSpellText,,spectralFormSpell,,,spellStartSoundIdentifier:vanish,,cloakSpellScene:spectralForm.lvl|cloakProjectile:prj_drg_spectralForm_flame,
markOfTwilight,0,spell_MarkOfTwilightSpell_spellName,spell_MarkOfTwilightSpell_spellDescription,icon_markOfTwilight.png,blue|blue,0,markOfTwilightSpellText,,markOfTwilightSpell,empoweredIcon:icon_markOfTwilight.png|empoweredActiveAbilityBattleText:markOfTwilightSpellText,,spellStartSoundIdentifier:northern_lights_tapped,northernLightsBuildingHealScene:bld_northernLights_light.lvl|northernLightsBuildingRageScene:bld_northernLights_dark.lvl,northernLightsDarkScene:shield_northernLights_dark.lvl|northernLightsLightScene:shield_northernLights_light.lvl|northernLightsLightParticle:ptl_northernLights_blast_light|northernLightsDarkParticle:ptl_northernLights_blast_dark|northernLightsShieldDeathScene:shield_northernLights_supershot_death.lvl,
deathsDoor,0,spell_DeathsDoorSpell_spellName,spell_DeathsDoorSpell_spellDescription,icon_deathsDoor.png,passive,0,deathsDoorSpellText,,deathsDoorSpell,,,,frostBiteIceShardScene:ptl_deathsDoor_building_effect.lvl,,
arcaneAegis,0,spell_ArcaneAegisSpell_spellName,spell_ArcaneAegisSpell_spellDescription,icon_arcaneAegis.png,white,0,arcaneAegisSpellText,,arcaneAegisSpell,,,spellStartSoundIdentifier:absorb_magic,,stoneSkinScene:spl_absorbmagic.lvl|stoneskinHitParticle:ptl_absorbMagic_hit|stoneskinShieldDeathScene:spl_absorbmagic_end.lvl,
bloodLust,0,spell_BloodLustSpell_spellName,spell_BloodLustSpell_spellDescription,icon_bloodlust.png,blue,0,bloodLustSpellText,,bloodLustSpell,,,spellStartSoundIdentifier:bloodfury,,bloodFuryScene:spl_bloodFury.lvl,
derisiveShriek,0,spell_DerisiveShriekSpell_spellName,spell_DerisiveShriekSpell_spellDescription,icon_derisiveShriek.png,white,0,derisiveShriekSpellText,,derisiveShriekSpell,,,,dreadfulBuildingParticle:ptl_building_intimidated,dreadfulStartParticle:spl_drg_derisiveShriek,
mystify,0,spell_mystifySpell_spellName,spell_mystifySpell_spellDescription,icon_mystify.png,white,0,mystifySpellText,,mystifySpell,,,spellStartSoundIdentifier:mystify_cast,,dodgeWindScene:mystify.lvl|dodgeWindBurstScene:mystifyBurst.lvl,
enshroud,0,spell_enshroudSpell_spellName,spell_enshroudSpell_spellDescription,icon_enshroud.png,white,0,enshroudSpellText,,enshroudSpell,,,spellStartSoundIdentifier:enshroud_cast,,,
scarletFever,0,spell_scarletFeverSpell_spellName,spell_scarletFeverSpell_spellDescription,icon_scarletFever.png,white|red,0,scarletFeverSpellText,,scarletFeverSpell,empoweredIcon:icon_seething_spark_01.png,,spellStartSoundIdentifier:scarletFever_cast,chainLightningApplyFromSkyParticle:ptl_drg_scarlet_Fever_impact|thunderstormBuildingParticle:ptl_building_scarletFever_base|stunBuildingParticle:ptl_building_scarletFever_stun,attackPowerIncreaseParticle:ptl_scarletFever,
inferno,0,spell_inferno_spellName,spell_inferno_spellDescription,icon_inferno.png,white|white,0,infernoSpellText,,infernoSpell,empoweredIcon:icon_piercingbreath_01.png|empoweredActiveAbilityBattleText:piercingBreathSpellText,,spellStartSoundIdentifier:inferno_cast,,heatedPiercingSuperProjectile:drg_inferno_flame_heated|heatedPiercingProjectile:drg_inferno_flame_piercing|heatedPiercingStopProjectile:drg_inferno_flame_radiance,
harrowingBolt,0,spell_HarrowingBoltSpell_spellName,spell_HarrowingBoltSpell_spellDescription,icon_harrowing_Bolt.png,red,0,harrowingBoltSpellText,prj_drg_harrowingBolt,harrowingBoltSpell,"buildingPriorityIdentifiers:mageBlueTower,orbTowerBossNDE,archerTowerBossNDE,cannonTowerBossNDE,elementalFlakDark,elementalFlakFire,elementalFlakIce,elementalFlakWind,elementalFlakEarth,perchIsland03,perchIsland06,perchIsland08,stormTower,iceTurret,fireTurret,archerTower,cannonTower,trebuchet,smokeTower,lightningTower,ballista,darkTotem,earthTotem,fireTotem,iceTotem,windTotem,archerTowerTutorial,cannonTowerTutorial,lightningTowerTutorial,hogFarm,woodFarm,stable,mageTower",,spellStartSoundIdentifier:harrowingBolt_cast,,fluxHealingParticle:spl_harrowingBolt_heal,
soulBarrage,0,spell_SoulBarrageSpell_spellName,spell_SoulBarrageSpell_spellDescription,icon_soulBarrage.png,white,0,soulBarrageSpellText,soulBarrage,soulBarageSpell,,,spellStartSoundIdentifier:soul_barrage_cast,,seekerShotsScene:spl_soulBarrage.lvl,
deathKnell,0,spell_deathKnellSpell_spellName,spell_deathKnellSpell_spellDescription,icon_deathKnell.png,red,0,deathKnellSpellText,,deathKnellSpell,,,spellStartSoundIdentifier:death_knell_cast,,novaBlastScene:spl_deathKnell_blast.lvl|novaHPWispsParticle:ptl_drg_deathKnell_wisp,
snowBlind,0,spell_SnowBlindSpell_spellName,spell_SnowBlindSpell_spellDescription,icon_snowBlind.png,white,0,snowBlindSpellText,,snowBlindSpell,,,spellStartSoundIdentifier:snowblind_cast,,flamethrowerProjectile:drg_snowBlind_fireball,
huntersMark,0,spell_HuntersMarkMarkSpell_spellName,spell_HuntersMarkSpell_spellDescription,icon_huntersMark.png,red,0,huntersMarkSpellText,,huntersMarkSpell,,freeTarget,spellStartSoundIdentifier:hunters_mark_prepare|spellReleaseSoundIdentifier:hunters_mark_cast,onBuildingParticle:spl_huntersMark_applyBuilding|onBuildingScene:bld_huntersMark_01.lvl,projectilePrepareParticle:spl_huntersMark_prepare|applyDragonParticle:spl_huntersMark_apply,
burningHatred,0,spell_BurningHatredSpell_spellName,spell_BurningHatredSpell_spellDescription,icon_burningHatred.png,white,0,burningHatredSpellText,,burningHatredSpell,,,spellStartSoundIdentifier:burning_hatred_cast,,bloodFuryScene:spl_burningHatred.lvl,
ragnarok,0,spell_RagnarokSpell_spellName,spell_RagnarokSpell_spellDescription,icon_ragnarok2.png,red,0,ragnarokSpellText,ragnarok,ragnarokSpell,empoweredIcon:icon_ragnarok2.png|empoweredActiveAbilityBattleText:ragnarokSpellText,freeTarget,spellStartSoundIdentifier:ragnarok_prepare|spellReleaseSoundIdentifier:ragnarok_cast,,umbralSpikePrepareParticle:ragnarok_grow|applyDragonParticle:ptl_heal_dragonSpell_02,
incinerate,0,spell_IncinerateSpell_spellName,spell_IncinerateSpell_spellDescription,icon_incinerate.png,white,0,incinerateSpellText,incinerate,incinerateSpell,"buildingPriorityIdentifiers:mageTower,mageBlueTower,orbTowerBossNDE,archerTowerBossNDE,cannonTowerBossNDE,elementalFlakDark,elementalFlakFire,elementalFlakIce,elementalFlakWind,elementalFlakEarth,perchIsland03,perchIsland06,perchIsland08,stormTower,iceTurret,fireTurret,archerTower,cannonTower,trebuchet,smokeTower,lightningTower,ballista,darkTotem,earthTotem,fireTotem,iceTotem,windTotem,archerTowerTutorial,cannonTowerTutorial,lightningTowerTutorial,hogFarm,woodFarm,stable",,spellStartSoundIdentifier:incinerate_cast,fluxBuildingParticle:incinerate_onBuilding,,
spiritualGuardian,0,spell_SummonSpiritualGuardian_spellName,spell_SummonSpiritualGuardian_spellDescription,icon_spiritualGuardian.png,passive,0,spiritualGuardianSpellText,drg_spiritualGuardian_flame,spiritualGuardianSpell,pathingEffectIdentifier:summonDragonEffect,,spellStartSoundIdentifier:warrior_summoned,,,
spearSalvo,0,spell_SpearSalvoSpell_spellName,spell_SpearSalvoSpell_spellDescription,icon_spearSalvo.png,red,0,spearSalvoSpellText,spearSalvo,spearSalvoSpell,,,spellStartSoundIdentifier:spearSalvo_cast,,seekerShotsScene:spl_spearSalvo.lvl,
pillagingFlames,0,spell_PillagingFlamesSpell_spellName,spell_PillagingFlamesSpell_spellDescription,icon_pillagingFlames.png,passive,0,pillagingFlamesSpellText,,pillagingFlamesSpell,,,,frostBiteIceShardScene:spl_pillagingFlames_shard.lvl,,
staticBlast,0,spell_StaticBlastSpell_spellName,spell_StaticBlastSpell_spellDescription,icon_staticBlast.png,white,0,staticBlastSpellText,staticBlast,staticBlastSpell,,circleAOE|freeTarget,spellStartSoundIdentifier:staticBlast_prepare|spellReleaseSoundIdentifier:staticBlast_cast,onBuildingScene:ptl_staticBlast_spell_impact_01.lvl|freezeProjectileParticle:staticBlast_effect,freezePrepareParticle:staticBlast_buildup,
timeStop,0,spell_timeStopSpell_spellName,spell_timeStopSpell_spellDescription,icon_timeStop.png,red,0,timeStopSpellText,,timeStopSpell,,,spellStartSoundIdentifier:time_stop_cast,dreadfulBuildingParticle:ptl_building_intimidated|onBuildingScene:ptl_timeStop_spell_impact_01.lvl,dreadfulStartParticle:spl_timeStop,
solarVolley,0,spell_solarVolleySpell_spellName,spell_solarVolleySpell_spellDescription,icon_solarVolley.png,white,0,solarVolleySpellText,,solarVolleySpell,,,spellStartSoundIdentifier:solar_volley_cast,lightSpeedBuildingParticle:ptl_building_solarVolley_flame,lightSpeedProjectile:prj_drg_solarVolley|lightSpeedDragonScene:spl_solarVolley_drg.lvl|lightSpeedDragonEndScene:spl_solarVolley_drg_fade.lvl,
moonShroud,0,spell_moonShroudSpell_spellName,spell_moonShroudSpell_spellDescription,icon_moonShroud.png,white,0,moonShroudSpellText,,moonShroudSpell,,,spellStartSoundIdentifier:moonshroud_cast,,elementalBarrierShieldScene:moonshroud_shield.lvl|elementalBarrierSupershotDeathScene:moonshroud_supershot_death.lvl|applyDragonParticle:ptl_heal_dragonSpell_02,
alterFate,0,spell_alterFateSpell_spellName,spell_alterFateSpell_spellDescription,icon_alterFate.png,white,0,alterFateSpellText,,alterFateSpell,empoweredIcon:icon_rewind_01.png,,spellStartSoundIdentifier:alter_fate_cast,,alterFateShieldFile:alterFate_shield.lvl|alterFateShieldDeathFile:alterFate_death.lvl|alterFateTeleportScene:ptl_drg_alterFate.lvl,
ectoplasmicBreath,0,spell_ectoplasmicBreathSpell_spellName,spell_ectoplasmicBreathSpell_spellDescription,icon_ectoplasmicBreath.png,white,0,ectoplasmicBreathSpellText,,ectoplasmicBreathSpell,,,spellStartSoundIdentifier:ectoplasmic_breath_cast,,flamethrowerProjectile:drg_ectoplasmicBreath_lockon,
onslaught,0,spell_OnslaughtSpell_spellName,spell_OnslaughtSpell_spellDescription,icon_onslaught_01.png,white|white,0,onslaughtSpellText,,onslaughtSpell,empoweredIcon:icon_onslaught_02.png,,spellStartSoundIdentifier:onslaught_cast,,shieldAssaultScene:onslaught_shield.lvl|flamethrowerProjectile:drg_onslaught_flame_01|spellEndScene:onslaught_shield_end.lvl,
debilitatingSludge,0,spell_DebilitatingSludgeSpell_spellName,spell_DebilitatingSludgeSpell_spellDescription,icon_debilitatingSludge.png,red,0,debilitatingSludgeSpellText,,debilitatingSludgeSpell,,,spellStartSoundIdentifier:debilitating_sludge_cast,dreadfulBuildingParticle:ptl_building_intimidated|onBuildingScene:ptl_dibilitatingSludge_spell_impact.lvl,dreadfulStartParticle:spl_dibilitatingSludge,
miasmicBreath,0,spell_MiasmicBreathSpell_spellName,spell_MiasmicBreathSpell_spellDescription,icon_miasmicBreath.png,white,0,miasmicBreathSpellText,,miasmicBreathSpell,,,spellStartSoundIdentifier:miasmic_breath_cast,,flamethrowerProjectile:drg_miasmic_flame_01,
unnervingShriek,0,spell_UnnervingShriekSpell_spellName,spell_UnnervingShriekSpell_spellDescription,icon_unnervingShriek.png,red,0,unnervingShriekText,,unnervingShriekSpell,,,spellStartSoundIdentifier:seismic_screech,intimidateBuildingParticle:ptl_building_unnervingShriek|intimidateBuildingPersistParticle:ptl_building_unnervingShriek_persist,intimidateDragonParticle:ptl_dragon_unnervingShriek,
coldSnap,0,spell_ColdSnapSpell_spellName,spell_ColdSnapSpell_spellDescription,icon_coldsnap.png,white,0,coldSnapSpellText,coldSnap,coldSnapSpell,,circleAOE|freeTarget,spellStartSoundIdentifier:coldsnap_prepare|spellReleaseSoundIdentifier:coldsnap_cast,onBuildingScene:ptl_coldSnap_spell_impact.lvl|freezeProjectileParticle:coldSnap_effect,freezePrepareParticle:coldSnap_buildup,
dragonfireMissile,0,spell_DragonfireMissileSpell_spellName,spell_DragonfireMissileSpell_spellDescription,icon_dragonfireMissile.png,white,0,dragonfireMissileSpellText,prj_drg_dragonfireMissile,dragonfireMissileSpell,"buildingPriorityIdentifiers:mageBlueTower,mageTower,orbTowerBossNDE,cannonTowerBossNDE,archerTowerBossNDE,elementalFlakDark,elementalFlakFire,elementalFlakIce,elementalFlakWind,elementalFlakEarth,perchIsland03,perchIsland06,perchIsland08,stormTower,iceTurret,fireTurret,archerTower,cannonTower,trebuchet,smokeTower,lightningTower,ballista,darkTotem,earthTotem,fireTotem,iceTotem,windTotem,archerTowerTutorial,cannonTowerTutorial,lightningTowerTutorial,hogFarm,woodFarm,stable",,spellStartSoundIdentifier:dragonfire_missile_cast,,fluxHealingParticle:spl_dragonfireMissile_rage,
summonPuppet,0,spell_SummonPuppetSpell_spellName,spell_SummonPuppetSpell_spellDescription,icon_summonPuppet.png,passive,0,summonPuppetSpellText,,summonPuppetSpell,pathingEffectIdentifier:summonDragonEffect,,spellStartSoundIdentifier:summon_puppet_cast,,,
spiralingMadness,0,spell_SpiralingMadness_spellName,spell_SpiralingMadness_spellDescription,icon_spiralingMadness.png,passive,0,spiralingMadnessSpellText,,spiralingMadnessSpell,,,,,furyOfTheWastesParticle:spiralingMadness_particle,
revitalize,0,spell_RevitalizeSpell_spellName,spell_RevitalizeSpell_spellDescription,icon_revitalize.png,blue,0,revitalizeSpellText,,revitalizeSpell,,,spellStartSoundIdentifier:revitalize_cast,,healParticle:heal_dragon,
darkRebirth,0,spell_DarkRebirthSpell_spellName,spell_DarkRebirthSpell_spellDescription,icon_darkRebirth.png,blue,0,darkRebirthSpellText,,darkRebirthSpell,,,spellStartSoundIdentifier:everlastinghunt_cast,,risingPhoenixStartParticle:spl_darkRebirth_shield|risingPhoenixHealParticle:spl_darkRebirth_heal|risingPhoenixRebirthParticle:spl_darkRebirth_rising,
celestialShield,0,spell_CelestialShieldSpell_spellName,spell_CelestialShieldSpell_spellDescription,icon_celestialShield.png,white|white,0,celestialShieldSpellText,,celestialShieldSpell,empoweredIcon:icon_celestialShield.png|empoweredActiveAbilityBattleText:markOfTwilightSpellText,,spellStartSoundIdentifier:northern_lights_tapped,northernLightsBuildingHealScene:bld_northernLights_light.lvl|northernLightsBuildingRageScene:bld_northernLights_dark.lvl,northernLightsDarkScene:shield_northernLights_dark.lvl|northernLightsLightScene:shield_northernLights_light.lvl|northernLightsLightParticle:ptl_northernLights_blast_light|northernLightsDarkParticle:ptl_northernLights_blast_dark|northernLightsShieldDeathScene:shield_northernLights_supershot_death.lvl,
divineStorm,0,spell_DivineStormSpell_spellName,spell_DivineStormSpell_spellDescription,icon_divineStorm.png,white,0,divineStormSpellText,,divineStormSpell,,,spellStartSoundIdentifier:divine_storm_cast,chainLightningApplyFromSkyParticle:ptl_drg_divineStorm_impact|thunderstormBuildingParticle:ptl_divineStorm_building_shock_base,thunderstormDragonParticle:ptl_dragon_divineStorm_ball,
frostBreath,0,spell_FrostBreathSpell_spellName,spell_FrostBreathSpell_spellDescription,icon_frostBreath.png,white,0,frostBreathSpellText,,frostBreathSpell,,,spellStartSoundIdentifier:frost_breath_cast,,flamethrowerProjectile:drg_frostBreath_flame,
immolatingBreath,0,spell_ImmolatingBreathSpell_spellName,spell_ImmolatingBreathSpell_spellDescription,icon_immolatingBreath.png,white|white,0,immolatingBreathSpellText,,immolatingBreathSpell,empoweredIcon:icon_immolatingBreath.png|empoweredActiveAbilityBattleText:piercingBreathSpellText,,spellStartSoundIdentifier:immolating_breath_cast,,heatedPiercingSuperProjectile:drg_immolatingBreath_flame_heated|heatedPiercingProjectile:drg_inferno_flame_piercing|heatedPiercingStopProjectile:drg_inferno_flame_radiance,
leechingBreath,0,spell_LeechingBreathSpell_spellName,spell_LeechingBreathSpell_spellDescription,icon_leechingBreath.png,white,0,leechingBreathSpellText,,leechingBreathSpell,,,spellStartSoundIdentifier:leeching_breath_cast,,energySyphonHealParticle:ptl_energy_syphon_heal|berserkProjectile:drg_leechingBreath_flame,
skulk,0,spell_SkulkSpell_spellName,spell_SkulkSpell_spellDescription,icon_skulk.png,white,0,skulkSpellText,,skulkSpell,,,spellStartSoundIdentifier:skulk_cast,,,
hysteria,0,spell_HysteriaSpell_spellName,spell_HysteriaSpell_spellDescription,icon_hysteria.png,white,0,hysteriaSpellText,,hysteriaSpell,,,spellStartSoundIdentifier:hysteria_cast,,,
corruptionOfTheVoid,0,spell_CorruptionOfTheVoidSpell_spellName,spell_CorruptionOfTheVoidSpell_spellDescription,icon_corruptionVoid.png,white,0,corruptionOfTheVoidSpellText,,corruptionOfTheVoidSpell,,,spellStartSoundIdentifier:adaptive_resist,,adaptiveBreathBonusScene:spl_consume.lvl,
rampageSorcerer,0,spell_RampageSpell_spellName,spell_RampageSpell_spellDescription,icon_rampage.png,white,0,rampageSpellText,,rampageSpell,,,spellStartSoundIdentifier:berserk_cast,,energySyphonHealParticle:ptl_energy_syphon_heal|berserkProjectile:drg_rampage_sorcerer_lockon,
scavenge,0,spell_ScavengeSpell_spellName,spell_ScavengeSpell_spellDescription,icon_scavenge.png,blue,0,scavengeSpellText,,scavengeSpell,,,spellStartSoundIdentifier:berserk_cast,,energySyphonHealParticle:ptl_energy_syphon_heal|berserkProjectile:drg_heatstroke_fireball,
stormShieldWhite,0,spell_StormShieldSpell_spellName,spell_StormShieldSpell_spellDescription,icon_stormShield.png,white,0,stormShieldSpellText,,stormShieldSpell,,,spellStartSoundIdentifier:storm_shield_cast,buildingExplodeParticle:ptl_storm_shield_impact_01,chargedShieldSceneFile:stormShield_charged.lvl|dragonShieldExplodeParticle:ptl_storm_shield_death|chargedShieldSupershotDeathSceneFile:storm_shield_charged_supershot_death.lvl,
wellOfPower,0,spell_WellOfPowerSpell_spellName,spell_WellOfPowerSpell_spellDescription,icon_wellOfPower.png,white,0,wellOfPowerSpellText,,wellOfPowerSpell,,,spellStartSoundIdentifier:berserk_cast,,energySyphonHealParticle:ptl_energy_syphon_heal|berserkProjectile:drg_rampage_flame,
breathOfTheDrowned,0,spell_BreathOfTheDrownedSpell_spellName,spell_BreathOfTheDrownedSpell_spellDescription,icon_breathOfTheDrowned.png,white,0,breathOfTheDrownedSpellText,,breathOfTheDrownedSpell,,,spellStartSoundIdentifier:breath_of_the_drowned_cast,,flamethrowerProjectile:drg_breathOfTheDrowned_lockon,
undertow,0,spell_UndertowSpell_spellName,spell_UndertowSpell_spellDescription,icon_undertow.png,passive,0,undertowSpellText,,undertowSpell,,,,frostBiteIceShardScene:spl_undertow_shard.lvl,,
purifyingAegis,0,spell_PurifyingAegisSpell_spellName,spell_PurifyingAegisSpell_spellDescription,icon_purifyingAegis.png,blue|blue,0,purifyingAegisSpellText,,purifyingAegisSpell,empoweredIcon:icon_blastshield_01.png|empoweredActiveAbilityBattleText:blastShieldSpellText,,spellStartSoundIdentifier:purifying_aegis_cast,buildingExplodeParticle:ptl_charge_shield_impact_01,heatedPrepareParticle:ptl_drg_radiance_blast_01|heatBlastShieldScene:shield_purifyingAegis.lvl|heatedHitParticle:ptl_purifyingAegis_hit|heatBlastShieldSupershotDeathScene:shield_purifyingAegis_supershot_death.lvl,
protectiveTalisman,0,spell_ProtectiveTalismanSpell_spellName,spell_ProtectiveTalismanSpell_spellDescription,icon_protectiveTalisman.png,white,0,protectiveTalismanSpellText,,protectiveTalismanSpell,,,spellStartSoundIdentifier:protective_talisman_cast,,invincibleSpellScene:protectiveTalisman.lvl|invincibleShieldDeathScene:protectiveTalisman_death.lvl,
wayOfTheBlade,0,spell_WayOfTheBladeSpell_spellName,spell_WayOfTheBladeSpell_spellDescription,icon_wayOfTheBlade.png,white,0,wayOfTheBladeSpellText,,wayOfTheBladeSpell,,,,,adaptiveBreathBonusScene:spl_wayOfTheBlade.lvl,
fightingSpirit,0,spell_FightingSpiritSpell_spellName,spell_FightingSpiritSpell_spellDescription,icon_fightingSpirit.png,blue,0,fightingSpiritSpellText,,fightingSpiritSpell,,,spellStartSoundIdentifier:fighting_spirit_cast,,consumeScene:spl_fightingSpirit.lvl,
slice,0,spell_SliceSpell_spellName,spell_SliceSpell_spellDescription,icon_slice.png,white|white,0,sliceSpellText,slice,sliceSpell,empoweredIcon:icon_slice.png|empoweredActiveAbilityBattleText:sliceSpellText,freeTarget,spellStartSoundIdentifier:slice_prepare|spellReleaseSoundIdentifier:slice_cast,,umbralSpikePrepareParticle:slice_grow|applyDragonParticle:ptl_heal_dragonSpell_02,
thrust,0,spell_ThrustSpell_spellName,spell_ThrustSpell_spellDescription,icon_thrust.png,white|white,0,thrustSpellText,thrust,thrustSpell,empoweredIcon:icon_thrust.png|empoweredActiveAbilityBattleText:thrustSpellText,freeTarget,spellStartSoundIdentifier:thrust_prepare|spellReleaseSoundIdentifier:thrust_cast,,umbralSpikePrepareParticle:thrust_grow|applyDragonParticle:ptl_heal_dragonSpell_02,
execute,0,spell_ExecuteSpell_spellName,spell_ExecuteSpell_spellDescription,icon_execute.png,white|white,0,executeSpellText,execute,executeSpell,empoweredIcon:icon_execute.png|empoweredActiveAbilityBattleText:executeSpellText,freeTarget,spellStartSoundIdentifier:execute_prepare|spellReleaseSoundIdentifier:execute_cast,,umbralSpikePrepareParticle:execute_grow|applyDragonParticle:ptl_heal_dragonSpell_02,
adaptiveImmunity,0,spell_AdaptiveImmunitySpell_spellName,spell_AdaptiveImmunitySpell_spellDescription,icon_adaptiveImmunity.png,white,0,adaptiveImmunitySpellText,,adaptiveImmunitySpell,,,spellStartSoundIdentifier:adaptive_resist,,windFlakResist02:spl_adaptive_windFlakResist.lvl|darkFlakResist02:spl_adaptive_darkFlakResist.lvl|fireFlakResist02:spl_adaptive_fireFlakResist.lvl,
trickstersToolkit,1,spell_TrickstersToolkitSpell_spellName,spell_TrickstersToolkitSpell_spellDescription,icon_trickstersToolkit.png,passive,0,trickstersToolkitSpellText,,trickstersToolktSpell,"buildingIdentifiers:stormTower,archerTower,cannonTower,ballista,mageTower,mageBlueTower,trebuchet,lightningTower,woodFarm,hogFarm,iceTurret,fireTurret,iceTotem,fireTotem,windTotem,earthTotem,darkTotem,elementalFlakDark,elementalFlakFire,elementalFlakIce,perchIsland03,perchIsland06,perchIsland08,elementalFlakWind,elementalFlakEarth,archerTowerBoss,cannonTowerBoss,trebuchetBoss,ballistaBoss,fireTurretBoss,iceTurretBoss,archerTowerBossNDE,cannonTowerBossNDE,orbTowerBossNDE",,spellStartSoundIdentifier:extractEssence_cast,,stealEssenceParticle:ptl_steal_essence_ball,
